Año/Mes,Total nacional,Estado ,Chihuahua ,Juárez,Otros municipios en el estado 
2007/07,"154,339,261","17,514,476","2,901,845","13,555,843","1,056,788"
2007/08,"166,064,618","18,667,140","3,230,972","14,362,895","1,073,273"
2007/09,"160,847,381","17,591,042","3,098,632","13,385,844","1,106,566"
2007/10,"175,852,758","19,616,038","3,426,855","15,036,321","1,152,862"
2007/11,"155,061,801","16,618,098","2,976,133","12,551,880","1,090,085"
2007/12,"150,758,686","15,878,976","2,923,349","11,985,231","970,396"
ACUMULADO 2007,"962,924,505","105,885,770","18,557,786","80,878,014","6,449,970"
2008/01,"148,967,062","15,563,182","2,683,552","11,910,884","968,746"
2008/02,"154,423,814","16,904,193","2,761,838","13,118,318","1,024,037"
2008/03,"158,493,119","17,778,186","3,087,154","13,643,765","1,047,267"
2008/04,"169,018,332","18,450,227","3,073,489","14,253,927","1,122,811"
2008/05,"164,692,414","18,354,900","2,843,827","14,503,255","1,007,818"
2008/06,"160,091,535","17,486,012","2,718,030","13,823,019","944,963"
2008/07,"166,874,743","17,372,689","2,590,307","13,705,278","1,077,104"
2008/08,"158,252,672","16,375,965","2,548,519","12,910,789","916,657"
2008/09,"166,128,834","17,607,547","2,860,585","13,738,306","1,008,656"
2008/10,"185,389,583","20,199,419","3,151,555","15,907,991","1,139,873"
2008/11,"161,825,383","17,500,783","2,813,233","13,695,611","991,939"
2008/12,"148,415,569","16,720,025","2,307,242","13,499,198","913,585"
ACUMULADO 2008,"1,942,573,060","210,313,128","33,439,331","164,710,341","12,163,456"
2009/01,"145,800,353","16,855,492","2,075,488","13,846,520","933,484"
2009/02,"145,253,493","16,412,078","2,109,140","13,298,794","1,004,144"
2009/03,"159,932,742","19,715,068","2,660,635","16,023,092","1,031,341"
2009/04,"145,880,453","16,920,273","2,513,627","13,481,623","925,023"
2009/05,"146,515,332","16,822,444","2,377,647","13,543,294","901,503"
2009/06,"150,444,249","18,228,329","2,413,550","14,834,460","980,319"
2009/07,"143,986,368","16,483,265","2,326,573","13,135,776","1,020,916"
2009/08,"146,759,429","17,224,344","2,457,560","13,748,222","1,018,562"
2009/09,"156,278,082","18,809,554","2,803,539","14,931,644","1,074,371"
2009/10,"156,541,164","17,788,947","2,849,134","13,891,638","1,048,175"
2009/11,"157,990,526","17,838,572","2,761,836","14,090,752","985,984"
2009/12,"151,098,574","19,585,080","2,640,640","16,047,642","896,798"
ACUMULADO 2009,"1,806,480,765","212,683,446","29,989,369","170,873,457","11,820,620"
2010/01,"142,379,368","20,231,330","2,554,160","16,860,758","816,412"
2010/02,"155,810,872","23,295,647","2,765,514","19,709,750","820,383"
2010/03,"170,294,196","24,047,827","3,214,524","19,909,821","923,482"
2010/04,"170,852,596","27,572,586","3,253,158","23,493,995","825,433"
2010/05,"176,824,245","27,649,163","3,563,944","23,208,889","876,330"
2010/06,"187,093,730","29,499,684","3,734,274","24,648,983","1,116,427"
2010/07,"180,631,280","27,954,154","3,285,985","23,642,102","1,026,067"
2010/08,"188,840,326","29,708,606","4,036,209","24,730,008","942,389"
2010/09,"182,171,345","29,915,488","3,867,363","25,055,372","992,753"
2010/10,"193,198,825","31,640,707","4,020,055","26,704,515","916,137"
2010/11,"187,912,996","30,478,614","3,722,500","25,881,188","874,926"
2010/12,"170,543,410","27,830,584","3,137,257","23,779,070","914,257"
ACUMULADO 2010,"2,106,553,189","329,824,390","41,154,943","277,624,451","11,044,996"
2011/01,"173,551,159","27,539,488","3,986,562","22,601,748","951,178"
2011/02,"177,367,859","26,594,875","3,853,825","21,762,017","979,033"
2011/03,"199,162,960","31,194,186","4,301,292","25,833,371","1,059,523"
2011/04,"180,406,974","32,831,435","3,942,551","27,999,447","889,437"
2011/05,"192,815,898","33,433,880","4,050,447","28,535,534","847,899"
2011/06,"198,301,776","31,787,203","4,313,824","26,444,563","1,028,816"
2011/07,"188,824,701","31,268,275","3,378,476","26,958,005","931,794"
2011/08,"204,023,385","33,948,171","3,920,082","29,001,921","1,026,168"
2011/09,"207,207,700","33,403,561","4,168,884","28,140,190","1,094,487"
2011/10,"215,799,592","34,783,519","4,607,397","28,965,292","1,210,830"
2011/11,"216,161,157","35,076,774","4,724,776","29,135,183","1,216,815"
2011/12,"196,815,018","32,192,817","4,163,173","26,822,687","1,206,957"
ACUMULADO 2011,"2,350,438,179","384,054,184","49,411,289","322,199,958","12,442,937"
2012/01,"204,864,055","30,389,201","4,692,939","24,456,316","1,239,946"
2012/02,"218,377,231","34,289,302","5,662,936","27,245,372","1,380,994"
2012/03,"230,317,415","31,064,378","5,643,380","24,153,517","1,267,481"
2012/04,"223,045,855","31,042,038","5,651,737","24,076,733","1,313,568"
2012/05,"230,187,081","23,833,362","6,018,176","16,429,490","1,385,696"
2012/06,"245,682,300","33,198,556","5,955,629","25,859,160","1,383,767"
2012/07,"227,465,831","22,457,876","5,854,609","15,237,009","1,366,258"
2012/08,"242,011,111","23,460,863","5,811,641","16,291,604","1,357,618"
2012/09,"227,742,735","21,956,108","5,190,256","15,509,795","1,256,057"
2012/10,"246,897,466","25,991,979","5,531,181","18,970,582","1,490,216"
2012/11,"240,331,679","25,099,252","5,626,180","18,166,252","1,306,820"
2012/12,"205,092,325","22,127,696","5,257,189","15,667,207","1,203,300"
ACUMULADO 2012,"2,742,015,084","324,910,611","66,895,853","242,063,037","15,951,721"
2013/01,"200,637,232","20,886,824","5,087,261","14,533,925","1,265,638"
2013/02,"205,380,189","26,248,988","5,409,269","19,531,562","1,308,157"
