Año/Mes,Total nacional,Estado ,Chihuahua ,Juárez,Otros municipios en el estado 
2007/07,"362,644","47,976","8,157","35,260","4,559"
2007/08,"391,105","55,306","8,976","40,906","5,424"
2007/09,"372,146","52,939","8,501","39,339","5,099"
2007/10,"390,488","54,649","9,622","39,645","5,382"
2007/11,"376,330","52,165","8,379","38,621","5,165"
2007/12,"335,578","47,315","7,791","34,899","4,625"
ACUMULADO 2007,"2,228,291","310,350","51,426","228,670","30,254"
2008/01,"364,468","49,516","8,235","36,265","5,016"
2008/02,"354,826","49,251","7,770","36,367","5,114"
2008/03,"356,987","50,938","7,716","38,289","4,933"
2008/04,"372,781","51,060","8,790","37,165","5,105"
2008/05,"372,986","49,774","7,821","37,018","4,935"
2008/06,"367,030","50,251","8,006","37,022","5,223"
2008/07,"374,194","48,020","7,764","35,624","4,632"
2008/08,"361,636","46,808","7,391","34,639","4,778"
2008/09,"357,548","46,997","7,736","34,365","4,896"
2008/10,"378,671","48,401","8,175","35,017","5,209"
2008/11,"335,671","42,613","7,391","30,804","4,418"
2008/12,"299,612","37,850","6,564","27,099","4,187"
ACUMULADO 2008,"4,296,410","571,479","93,359","419,674","58,446"
2009/01,"306,177","36,568","6,319","26,399","3,850"
2009/02,"290,313","35,561","5,962","25,894","3,705"
2009/03,"302,734","37,666","6,655","26,985","4,026"
2009/04,"297,985","37,039","6,144","26,987","3,908"
2009/05,"288,730","35,243","5,913","25,669","3,661"
2009/06,"298,154","36,937","6,513","26,572","3,852"
2009/07,"314,199","37,986","6,084","27,891","4,011"
2009/08,"304,736","37,656","6,393","27,260","4,003"
2009/09,"315,776","40,337","6,714","29,326","4,297"
2009/10,"336,082","43,013","6,989","31,544","4,480"
2009/11,"313,760","40,772","7,041","29,556","4,175"
2009/12,"305,667","40,659","6,778","29,226","4,655"
ACUMULADO 2009,"3,674,313","459,437","77,505","333,309","48,623"
2010/01,"316,288","40,562","7,616","29,579","3,367"
2010/02,"313,609","41,341","7,425","30,505","3,411"
2010/03,"345,964","46,973","8,193","34,779","4,001"
2010/04,"341,447","44,356","7,855","33,012","3,489"
2010/05,"341,586","44,736","8,221","32,960","3,555"
2010/06,"352,055","46,527","8,581","34,066","3,880"
2010/07,"362,007","45,429","8,519","33,136","3,774"
2010/08,"355,180","45,510","8,782","33,033","3,695"
2010/09,"366,377","48,934","9,166","35,714","4,054"
2010/10,"363,873","46,195","9,243","33,156","3,796"
2010/11,"352,396","43,456","8,436","31,432","3,588"
2010/12,"341,794","42,662","8,598","30,358","3,706"
ACUMULADO 2010,"4,152,576","536,681","100,635","391,730","44,316"
2011/01,"348,245","43,774","8,900","31,613","3,261"
2011/02,"338,779","42,907","8,287","31,294","3,326"
2011/03,"380,150","49,500","9,644","35,930","3,926"
2011/04,"351,040","44,201","8,700","32,078","3,423"
2011/05,"365,144","45,732","9,298","32,911","3,523"
2011/06,"379,493","48,544","9,613","34,902","4,029"
2011/07,"362,964","44,123","9,302","31,256","3,565"
2011/08,"375,481","46,753","9,591","33,068","4,094"
2011/09,"377,850","48,457","9,687","34,532","4,238"
2011/10,"373,698","47,579","10,458","32,973","4,148"
2011/11,"368,655","45,703","9,451","32,074","4,178"
2011/12,"349,694","41,799","9,373","28,741","3,685"
ACUMULADO 2011,"4,371,193","549,072","112,304","391,372","45,396"
2012/01,"368,016","45,372","10,280","31,635","3,457"
2012/02,"363,119","46,109","10,066","32,232","3,811"
2012/03,"392,911","50,504","10,892","35,575","4,037"
2012/04,"366,931","46,694","10,647","32,493","3,554"
2012/05,"394,342","50,068","11,009","35,115","3,944"
2012/06,"389,187","50,040","10,930","35,202","3,908"
2012/07,"386,577","48,066","11,102","32,193","4,771"
2012/08,"406,670","51,536","11,329","35,672","4,535"
2012/09,"386,898","50,217","11,109","34,813","4,295"
2012/10,"406,008","52,738","11,815","36,553","4,370"
2012/11,"396,873","51,732","11,198","36,420","4,114"
2012/12,"353,125","45,391","9,845","31,831","3,715"
ACUMULADO 2012,"4,610,657","588,467","130,222","409,734","48,511"
2013/01,"394,819","50,090","11,040","35,104","3,946"
2013/02,"372,950","49,422","10,414","35,024","3,984"
2013/03,"389,758","53,893","11,572","38,049","4,272"
2013/04,"403,240","52,892","11,343","37,542","4,007"
2013/05,"419,425","54,711","11,586","38,833","4,292"
2013/06,"400,066","51,451","10,915","36,189","4,347"
2013/07,"414,029","51,127","11,478","35,521","4,128"
2013/08,"425,459","53,870","11,803","37,863","4,204"
2013/09,"407,648","53,143","11,614","37,234","4,295"
2013/10,"441,006","57,568","12,264","40,697","4,607"
2013/11,"408,745","52,351","11,134","36,900","4,317"
2013/12,"375,210","48,195","10,894","33,264","4,037"
ACUMULADO 2013,"4,852,355","628,713","136,057","442,220","50,436"
2014/01,"415,874","52,915","11,873","36,971","4,071"
2014/02,"396,966","51,199","11,583","35,637","3,979"
2014/03,"420,378","54,163","12,357","37,508","4,298"
2014/04,"418,649","54,376","12,330","37,979","4,067"
2014/05,"434,680","55,816","12,117","39,339","4,360"
2014/06,"426,399","55,807","12,470","39,023","4,314"
2014/07,"445,766","57,413","12,214","40,843","4,356"
2014/08,"435,534","55,628","11,957","39,269","4,402"
2014/09,"433,076","56,398","12,211","39,635","4,552"
2014/10,"472,418","62,294","12,945","44,741","4,608"
2014/11,"429,464","54,808","11,557","39,066","4,185"
2014/12,"406,214","51,914","11,077","36,615","4,222"
ACUMULADO 2014,"5,135,418","662,731","144,691","466,626","51,414"
2015/01,"434,150","55,281","11,463","39,585","4,233"
2015/02,"416,676","54,741","11,323","39,257","4,161"
2015/03,"450,417","60,120","12,688","42,701","4,731"
2015/04,"454,870","60,633","12,154","44,128","4,351"
2015/05,"443,332","57,595","11,754","41,481","4,360"
2015/06,"458,163","60,682","12,133","43,959","4,590"
2015/07,"477,588","64,226","12,595","47,339","4,292"
2015/08,"453,836","60,406","12,012","43,959","4,435"
2015/09,"457,696","62,517","12,494","45,405","4,618"
2015/10,"489,272","66,983","13,377","49,080","4,526"
2015/11,"447,632","60,162","11,935","43,987","4,240"
2015/12,"434,337","57,914","12,150","41,304","4,460"
ACUMULADO 2015,"5,417,969","721,260","146,078","522,185","52,997"
2016/01p,"447,593","58,658","11,666","42,903","4,089"
2016/02,"445,276","59,318","12,458","42,622","4,238"
2016/03,"475,919","66,661","13,900","48,276","4,485"
2016/04,"482,924","61,891","12,914","44,516","4,461"
2016/05,"480,726","63,127","13,351","44,998","4,778"
2016/06,"490,987","68,230","13,912","49,311","5,007"
2016/07,"471,429","61,605","12,332","44,892","4,381"
2016/08,"489,431","64,775","12,871","46,841","5,063"
2016/09,"494,927","69,042","13,907","50,132","5,003"
2016/10,"491,579","67,005","13,375","48,708","4,922"
2016/11,"483,031","65,255","13,092","47,366","4,797"
2016/12,"464,791","62,227","13,053","44,870","4,304"
ACUMULADO 2016,"5,718,613","767,794","156,831","555,435","55,528"
2017/01,"479,323","62,562","12,592","45,526","4,444"
2017/02,"460,212","62,108","12,315","45,258","4,535"
2017/03,"521,583","71,547","14,068","52,096","5,383"
2017/04,"473,460","63,226","11,291","47,308","4,627"
2017/05,"506,704","69,884","11,648","52,135","6,101"
2017/06,"521,949","72,193","13,323","53,317","5,553"
2017/07,"496,823","65,452","13,133","47,316","5,003"
2017/08,"527,788","71,511","14,021","51,912","5,578"
2017/09,"507,700","69,555","13,483","50,101","5,971"
2017/10,"514,841","70,077","13,551","49,703","6,823"
2017/11,"516,414","70,473","13,301","51,290","5,882"
2017/12,"467,379","61,279","10,897","44,259","6,123"
ACUMULADO 2017,"5,994,176","809,867","153,623","590,221","66,023"
2018/01,"502,938","63,962","11,005","46,287","6,670"
2018/02,"479,219","62,703","10,717","45,773","6,213"
2018/03,"522,937","70,331","12,266","51,397","6,668"
2018/04,"510,704","65,945","11,495","48,051","6,399"
2018/05,"537,064","68,204","12,224","49,408","6,572"
2018/06,"526,959","68,048","11,972","49,459","6,617"
2018/07,"519,596","64,776","11,718","46,858","6,200"
2018/08,"556,104","70,895","12,726","51,313","6,856"
2018/09,"520,213","66,744","11,934","48,371","6,439"
2018/10,"549,887","70,768","12,341","51,803","6,624"
2018/11,"535,515","70,278","12,585","51,121","6,572"
2018/12,"478,527","60,313","11,443","43,529","5,341"
ACUMULADO 2018,"6,239,663","802,967","142,426","583,370","77,171"
2019/01,"529,300","66,915","12,253","48,659","6,003"
2019/02,"492,876","64,246","11,340","47,133","5,773"
2019/03,"526,318","69,117","13,228","49,573","6,316"
2019/04,"513,329","67,467","12,647","48,503","6,317"
2019/05,"545,881","71,118","13,543","51,147","6,428"
2019/06,"515,899","66,642","12,890","47,494","6,258"
2019/07,"536,570","68,547","12,604","49,473","6,470"
2019/08,"544,844","70,360","13,456","50,237","6,667"
2019/09,"517,044","67,631","12,891","48,283","6,457"
2019/10,"548,762","70,812","13,248","51,003","6,561"
2019/11,"515,306","67,329","12,737","48,207","6,385"
2019/12,"479,778","64,356","12,620","45,631","6,105"
ACUMULADO 2019,"6,265,907","814,540","153,457","585,343","75,740"
2020/01,"517,581","67,563","13,232","48,208","6,123"
2020/02,"500,199","66,035","12,818","47,087","6,130"
2020/03,"504,727","68,436","12,785","49,678","5,973"
2020/04,"323,124","41,632","8,081","30,648","2,903"
2020/05,"358,708","44,070","8,256","32,449","3,365"
2020/06,"468,089","63,956","11,775","46,003","6,178"
2020/07,"513,325","70,256","12,903","51,145","6,208"
2020/08,"501,057","68,662","12,516","49,730","6,416"
2020/09,"509,437","71,996","12,721","52,764","6,511"
2020/10,"540,149","75,123","13,976","54,836","6,311"
2020/11,"499,956","67,339","12,590","49,010","5,739"
2020/12,"494,850","68,844","13,030","50,365","5,449"
