Periodo (Año/Mes),Personal ocupado que se contrata directamente/Total,Obreros y técnicos ,Administrativos ,Personal subcontratado/Total,Obreros y técnicos ,Administrativos 
2007/07,"193,546","175,664","17,882","19,550","17,690","1,860"
2007/08,"195,316","177,295","18,021","19,805","17,832","1,973"
2007/09,"196,551","178,567","17,984","20,389","18,518","1,871"
2007/10,"195,454","177,570","17,884","21,771","19,719","2,052"
2007/11,"195,121","176,908","18,213","21,497","19,317","2,180"
2007/12,"190,237","171,929","18,308","20,125","18,087","2,038"
2008/01,"195,368","176,738","18,630","17,889","16,245","1,644"
2008/02,"192,222","173,573","18,649","17,262","15,611","1,651"
2008/03,"192,998","173,990","19,008","15,473","13,981","1,492"
2008/04,"190,215","171,224","18,991","16,032","14,470","1,562"
2008/05,"189,662","170,819","18,843","16,860","15,242","1,618"
2008/06,"186,591","167,991","18,600","16,365","14,791","1,574"
2008/07,"184,361","165,983","18,378","16,112","14,589","1,523"
2008/08,"181,371","162,898","18,473","17,014","15,358","1,656"
2008/09,"176,238","158,389","17,849","17,182","15,540","1,642"
2008/10,"172,109","154,491","17,618","16,096","14,536","1,560"
2008/11,"168,175","150,184","17,991","15,848","14,209","1,639"
2008/12,"163,775","146,053","17,722","15,853","13,925","1,928"
2009/01,"157,897","140,566","17,331","9,761","8,553","1,208"
2009/02,"151,120","134,156","16,964","10,946","9,023","1,923"
2009/03,"146,150","129,485","16,665","9,847","8,744","1,103"
2009/04,"143,431","126,469","16,962","9,798","8,127","1,671"
2009/05,"142,798","125,798","17,000","10,497","8,920","1,577"
2009/06,"142,025","124,846","17,179","11,315","9,636","1,679"
2009/07,"141,614","124,598","17,016","11,655","9,996","1,659"
2009/08,"143,431","126,386","17,045","11,993","9,839","2,154"
2009/09,"144,789","127,751","17,038","12,012","10,067","1,945"
2009/10,"148,776","131,448","17,328","15,180","12,923","2,257"
2009/11,"150,624","133,271","17,353","15,605","13,825","1,780"
2009/12,"152,968","134,963","18,005","15,048","13,300","1,748"
2010/01,"153,604","135,682","17,922","16,565","14,688","1,877"
2010/02,"155,796","138,369","17,427","17,898","15,900","1,998"
2010/03,"156,612","138,888","17,724","20,027","17,716","2,311"
2010/04,"156,781","139,420","17,361","21,679","19,227","2,452"
2010/05,"160,836","143,335","17,501","21,262","18,766","2,496"
2010/06,"154,362","137,170","17,192","24,516","21,711","2,805"
2010/07,"157,381","140,012","17,369","23,396","20,611","2,785"
2010/08,"158,605","141,116","17,489","24,024","21,186","2,838"
2010/09,"159,133","141,423","17,710","24,106","21,321","2,785"
2010/10,"156,432","139,057","17,375","23,731","21,077","2,654"
2010/11,"154,566","137,164","17,402","22,669","20,024","2,645"
2010/12,"154,019","136,578","17,441","23,008","20,625","2,383"
2011/01,"153,514","136,532","16,982","23,057","20,833","2,224"
2011/02,"154,907","137,896","17,011","23,016","20,726","2,290"
2011/03,"155,925","139,164","16,761","23,316","21,052","2,264"
2011/04,"156,817","140,009","16,808","23,469","21,194","2,275"
2011/05,"156,456","139,644","16,812","24,458","21,491","2,967"
2011/06,"156,188","139,324","16,864","24,439","21,593","2,846"
2011/07,"155,414","138,564","16,850","22,740","20,439","2,301"
2011/08,"155,294","138,429","16,865","21,833","19,643","2,190"
2011/09,"157,078","139,908","17,170","21,040","18,648","2,392"
2011/10,"156,368","139,441","16,927","21,612","19,518","2,094"
2011/11,"156,074","139,146","16,928","21,591","19,625","1,966"
2011/12,"156,444","139,618","16,826","21,714","19,846","1,868"
2012/01,"155,118","138,674","16,444","24,580","22,693","1,887"
2012/02,"157,364","140,974","16,390","25,133","23,274","1,859"
2012/03,"159,161","142,676","16,485","24,735","22,875","1,860"
2012/04,"160,939","144,523","16,416","25,926","24,038","1,888"
2012/05,"161,937","145,637","16,300","26,790","24,833","1,957"
2012/06,"161,161","144,941","16,220","27,838","25,790","2,048"
2012/07,"159,554","143,391","16,163","27,551","25,397","2,154"
2012/08,"161,437","145,094","16,343","27,363","25,285","2,078"
2012/09,"162,865","146,448","16,417","27,924","25,784","2,140"
2012/10,"163,169","146,796","16,373","29,510","27,226","2,284"
2012/11,"164,071","147,689","16,382","31,677","29,441","2,236"
2012/12,"162,835","146,475","16,360","32,064","29,753","2,311"
2013/01,"161,848","145,157","16,691","32,560","30,338","2,222"
2013/02,"166,431","149,573","16,858","33,753","31,500","2,253"
2013/03,"167,715","150,758","16,957","35,605","33,298","2,307"
2013/04,"168,950","151,906","17,044","35,471","33,296","2,175"
2013/05,"170,834","153,592","17,242","33,555","31,491","2,064"
2013/06,"168,996","151,685","17,311","32,366","30,315","2,051"
2013/07,"171,165","153,830","17,335","32,587","30,500","2,087"
2013/08,"172,319","154,911","17,408","31,225","29,089","2,136"
2013/09,"173,862","156,487","17,375","29,487","27,300","2,187"
2013/10,"175,466","158,017","17,449","28,325","26,012","2,313"
2013/11,"177,370","159,925","17,445","26,979","24,709","2,270"
2013/12,"176,479","158,937","17,542","26,358","24,073","2,285"
2014/01,"179,867","162,693","17,174","28,672","26,189","2,483"
2014/02,"176,536","159,433","17,103","27,804","25,291","2,513"
2014/03,"179,002","161,138","17,864","28,529","25,892","2,637"
2014/04,"180,733","162,973","17,760","29,207","26,636","2,571"
2014/05,"183,047","165,055","17,992","29,692","27,197","2,495"
2014/06,"183,907","165,472","18,435","31,049","28,223","2,826"
2014/07,"183,437","165,157","18,280","31,765","29,374","2,391"
2014/08,"183,906","165,423","18,483","31,501","29,090","2,411"
2014/09,"185,393","166,832","18,561","32,478","30,011","2,467"
2014/10,"189,242","170,333","18,909","32,127","29,821","2,306"
2014/11,"191,292","172,321","18,971","31,939","29,657","2,282"
2014/12,"193,093","174,226","18,867","31,201","28,900","2,301"
2015/01,"194,783","175,774","19,009","30,445","28,004","2,441"
2015/02,"196,587","177,863","18,724","30,067","27,402","2,665"
2015/03,"201,292","182,272","19,020","29,616","27,068","2,548"
2015/04,"203,813","184,788","19,025","31,818","29,167","2,651"
2015/05,"204,997","185,895","19,102","31,914","29,176","2,738"
2015/06,"208,895","189,471","19,424","32,972","30,195","2,777"
2015/07,"209,597","189,735","19,862","34,981","32,237","2,744"
2015/08,"212,938","192,766","20,172","34,792","32,026","2,766"
2015/09,"216,957","196,549","20,408","33,797","31,054","2,743"
2015/10,"220,518","200,462","20,056","34,423","31,570","2,853"
2015/11,"219,299","199,191","20,108","33,927","30,861","3,066"
2015/12,"214,778","195,183","19,595","32,897","30,031","2,866"
2016/01p,"214,942","195,150","19,792","32,812","29,927","2,885"
2016/02,"217,507","197,643","19,864","33,070","30,067","3,003"
2016/03,"218,528","198,427","20,101","33,250","30,228","3,022"
2016/04,"219,894","199,722","20,172","33,434","30,482","2,952"
2016/05,"221,288","200,865","20,423","35,417","32,106","3,311"
2016/06,"220,968","200,554","20,414","33,905","30,873","3,032"
2016/07,"222,251","201,467","20,784","33,818","30,780","3,038"
2016/08,"225,558","204,685","20,873","33,479","30,166","3,313"
2016/09,"231,769","210,390","21,379","32,826","29,591","3,235"
2016/10,"231,538","210,374","21,164","31,925","29,057","2,868"
2016/11,"234,761","213,371","21,390","30,245","27,409","2,836"
2016/12,"237,448","214,890","22,558","28,803","25,791","3,012"
2017/01,"236,514","214,867","21,647","27,395","24,495","2,900"
2017/02,"241,261","219,501","21,760","27,727","24,777","2,950"
2017/03,"244,186","222,012","22,174","28,035","25,095","2,940"
2017/04,"246,895","224,611","22,284","27,278","24,343","2,935"
2017/05,"252,558","230,138","22,420","27,414","24,464","2,950"
2017/06,"247,342","225,095","22,247","27,273","24,311","2,962"
2017/07,"248,205","225,575","22,630","27,147","24,150","2,997"
2017/08,"248,807","225,436","23,371","28,869","25,635","3,234"
2017/09,"245,365","222,914","22,451","28,555","25,404","3,151"
2017/10,"246,567","224,241","22,326","28,646","25,352","3,294"
2017/11,"246,501","223,908","22,593","29,186","25,920","3,266"
2017/12,"247,267","214,938","22,329","27,223","24,105","3,118"
2018/01,"243,673","220,735","22,938","23,840","21,373","2,467"
2018/02,"244,782","221,351","23,431","24,012","21,514","2,498"
2018/03,"244,501","221,193","23,308","24,260","21,841","2,419"
2018/04,"244,685","221,267","23,418","24,170","21,758","2,412"
2018/05,"246,431","222,594","23,837","24,341","21,940","2,401"
2018/06,"245,151","221,002","24,149","24,016","21,616","2,400"
2018/07,"244,620","220,634","23,986","23,675","21,317","2,358"
2018/08,"246,042","222,133","23,909","23,747","21,413","2,334"
2018/09,"248,919","225,096","23,823","23,806","21,438","2,368"
2018/10,"252,840","228,990","23,850","24,064","21,727","2,337"
2018/11,"253,906","230,332","23,574","23,341","21,035","2,306"
2018/12,"254,192","230,788","23,404","22,735","20,402","2,333"
2019/01,"258,090","234,338","23,752","22,584","20,273","2,311"
2019/02,"263,493","239,174","24,319","21,599","19,235","2,364"
2019/03,"260,614","236,798","23,816","21,252","18,895","2,357"
2019/04,"261,245","237,158","24,087","18,999","16,988","2,011"
2019/05,"261,270","237,103","24,167","19,319","17,322","1,997"
2019/06,"259,437","235,651","23,786","19,491","17,467","2,024"
2019/07,"258,568","234,661","23,907","19,412","17,391","2,021"
2019/08,"277,214","233,838","24,069","19,307","17,285","2,022"
2019/09,"256,763","232,458","24,305","19,151","17,155","1,996"
2019/10,"257,661","233,066","24,595","19,842","17,840","2,002"
2019/11,"258,906","233,827","25,079","18,801","16,831","1,970"
2019/12,"255,712","230,451","25,261","18,826","16,907","1,919"
2020/01,"255,591","230,441","25,150","19,265","17,362","1,903"
2020/02,"255,977","230,847","25,130","18,797","16,648","2,149"
2020/03,"256,693","232,344","24,349","18,869","16,923","1,946"
2020/04,"254,429","230,355","24,074","18,665","16,757","1,908"
2020/05,"249,662","225,458","24,204","18,524","16,643","1,880"
2020/06,"248,787","225,104","23,683","19,162","17,079","2,083"
2020/07,"261,430","237,226","24,204","20,397","18,485","1,912"
2020/08,"268,365","243,965","24,400","20,984","19,051","1,933"
2020/09,"273,336","248,692","24,644","21,450","19,559","1,891"
2020/10,"275,198","249,906","25,292","21,962","20,049","1,913"
2020/11,"279,076","253,650","25,426","21,706","19,793","1,913"
2020/12,"278,468","253,131","25,337","21,434","19,488","1,946"
2021/01,"281,182","255,579","25,603","22,391","20,433","1,958"
2021/02,"279,041","253,436","25,605","20,772","18,843","1,929"
2021/03,"280,209","254,645","25,564","21,105","19,107","1,998"
2021/04,"281,997","255,970","26,027","21,016","19,008","2,008"
2021/05,"279,843","253,318","26,525","21,030","18,996","2,034"
2021/06,"276,166","249,991","26,175","19,519","17,549","1,970"
2021/07,"287,088","258,988","28,100","10,035","9,331",704
2021/08,"295,055","266,442","28,613","1,744","1,547",197
2021/09,"297,589","268,846","28,743","1,661","1,473",188
2021/10,"297,237","268,336","28,901","1,757","1,521",236
2021/11,"298,395","269,292","29,103","1,633","1,431",202
2021/12,"296,481","267,267","29,214","1,695","1,481",214
2022/01,"301,155","271,557","29,598","1,390","1,210",180
2022/02,"307,102","277,278","29,824","1,391","1,209",182
2022/03,"315,483","284,441","31,042","1,393","1,186",207
2022/04,"314,850","283,484","31,366","1,457","1,246",211
2022/05,"316,723","286,039","30,684","1,484","1,253",231
2022/06,"318,829","287,705","31,124","1,514","1,275",239
2022/07,"313,068","281,185","31,883","1,572","1,328",244
2022/08,"318,785","286,379","32,406","1,619","1,380",239
2022/09,"317,123","285,076","32,047","1,601","1,358",243
2022/10,"316,831","284,256","32,575","1,540","1,298",242
2022/11,"315,809","282,882","32,927","1,476","1,233",436
2022/12,"311,941","278,988","32,953","1,518","1,271",247
2023/01,"316,459","283,298","33,161","1,400","1,158",242
