Parques Industriales - Nombre,Superficie total (Ha),Zonas Industriales - Nombre,Superficie total (Ha) 
Parque Industrial Omega,199.1,Altavista,4.2
Parque Industrial San Jerónimo,580,Eje Vial Juan Gabriel,53.5
Parque Industrial Aztecas,51.9,Ramón Rivera Lara,37.9
Parque Industrial Fernández,43.1,Panamericana y Oscar Flores Sánchez,109.4
Parque Industrial Gema,40.6,Satélite,26
Parque Industrial Gema II,11.3,América,6.6
Parque Industrial Juárez,72.5,Teófilo Borunda,28.8
Parque Industrial Aeropuerto,53.7,Boulevard Zaragoza y Sonora,10.6
Parque Industrial North Gate,40.1,Las Lomas,40.4
Parque Industrial Panamericano,48.8,Independencia,17.7
Parque Industrial Zaragoza,93.2,Los Bravos,119.8
Parque Industrial Antonio J Bermúdez,207.2,Henequén,30.7
Parque Industrial Los Fuentes,78.9,Zona Industrial Thomson,33
Parque Industrial Río Bravo,122.7,Electrolux,213
Parque Industrial Aerojuárez,81.9,Independencia y Santiago Troncoso,24.2
Parque Industrial Las Américas,32.6,,
Parque Industrial Axial,45,,
Centro Industrial Juárez,125.1,,
Parque Industrial Intermex,77.2,,
Parque Industrial Salvárcar,41.6,,
Parque Industrial American Industries Kimco Juárez,16.7,,
Parque Industrial Las Torres,12.6,,
Parque Industrial Intermex Oriente,23.3,,
Parque Industrial Intermex Sur,94,,
