AÑO,JUÁREZ,CHIHUAHUA,NACIONAL
1990,27.77,29.14,29.93
1991,27.77,29.14,29.93
1992,17.38,18.15,18.79
1993,11.73,12.35,11.94
1994,7.97,8.8,8.01
1995,6.87,7.15,7.05
1996,52.88,46.33,51.97
1997,26.66,26.51,27.7
1998,15.57,15.77,15.72
1999,13.04,12.92,12.32
2000,9.52,10.95,8.96
2001,5.23,6.17,4.4
2002,3.96,4.41,5.7
2003,3.83,4.79,3.98
2004,4.68,5.55,5.19
2005,2.46,3.12,3.33
2006,3.01,4.39,4.05
2007,3.83,3.61,3.76
2008,2.62,6.39,6.53
2009,5.4,4.13,3.57
2010,3.53,4.59,4.4
2011,3.29,3.33,3.82
2012,2.96,3.41,3.57
2013,2.52,3.69,3.97
2014,3.07,4.09,4.08
2015,0.35,1.39,2.13
2016,4.8,3.85,3.36
2017,6.79,6.66,6.77
2018,4.21,5.18,4.83
2019,1.56,2.99,2.83
2020,3.27,3.44,3.15
2021,8.19,7.94,7.36
2022,7.19,6.82,7.82
2023,3.68,5.42,4.66
2024,3.8,2.39,4.21
