Periodo,JUÁREZ,CHIHUAHUA,NACIONAL
1990/01,3.27,3.96,4.83
1990/02,2.05,3.19,2.26
1990/03,1.38,1.65,1.76
1990/04,1.74,1.05,1.52
1990/05,2.5,1.65,1.75
1990/06,2.22,2.58,2.2
1990/07,1.51,1.93,1.82
1990/08,1.3,1.74,1.7
1990/09,0.98,1.45,1.43
1990/10,2.3,1.72,1.44
1990/11,2.37,2.6,2.66
1990/12,3.16,2.38,3.15
1991/01,2.23,2.38,2.55
1991/02,1.87,2.15,1.75
1991/03,1.29,1.59,1.43
1991/04,1,1.41,1.05
1991/05,1.25,0.8,0.98
1991/06,1.03,1.04,1.05
1991/07,0.53,0.64,0.88
1991/08,0.95,0.8,0.7
1991/09,1.09,1.14,1
1991/10,0.72,1.43,1.16
1991/11,1.94,1.56,2.48
1991/12,2.26,1.88,2.35
1992/01,1.52,1.65,1.82
1992/02,0.95,1.1,1.18
1992/03,1.02,1.23,1.02
1992/04,1.29,0.93,0.89
1992/05,0.83,0.48,0.66
1992/06,0.88,0.75,0.68
1992/07,0.65,0.75,0.63
1992/08,0.61,0.67,0.61
1992/09,0.94,0.85,0.87
1992/10,0.54,0.92,0.72
1992/11,0.83,1.02,0.83
1992/12,1.08,1.36,1.42
1993/01,1.01,1.45,1.25
1993/02,0.72,0.94,0.82
1993/03,0.61,0.45,0.58
1993/04,0.64,0.73,0.58
1993/05,0.6,0.63,0.57
1993/06,0.56,0.73,0.56
1993/07,0.4,0.4,0.48
1993/08,0.42,0.42,0.54
1993/09,0.55,0.78,0.74
1993/10,0.25,0.34,0.41
1993/11,0.86,0.71,0.44
1993/12,1.07,0.89,0.76
1994/01,0.85,0.82,0.78
1994/02,0.45,0.66,0.51
1994/03,0.51,0.69,0.51
1994/04,0.46,0.67,0.49
1994/05,0.4,0.46,0.48
1994/06,0.52,0.48,0.5
1994/07,0.57,0.42,0.44
1994/08,0.52,0.4,0.47
1994/09,0.58,0.68,0.71
1994/10,0.45,0.69,0.52
1994/11,0.55,0.52,0.53
1994/12,0.82,0.44,0.88
1995/01,6.51,3.26,3.76
1995/02,5.25,4.1,4.24
1995/03,6.07,4.55,5.9
1995/04,6.08,6.56,7.97
1995/05,3.18,3.32,4.18
1995/06,2.76,2.99,3.17
1995/07,1.95,2.05,2.04
1995/08,1.41,1.66,1.66
1995/09,2.19,2.13,2.07
1995/10,1.96,1.86,2.06
1995/11,2.82,3.11,2.47
1995/12,3.22,3.19,3.26
1996/01,3.86,3.53,3.59
1996/02,2.46,2.2,2.33
1996/03,2.01,1.99,2.2
1996/04,2.72,2.59,2.84
1996/05,1.53,1.71,1.82
1996/06,1.6,1.79,1.63
1996/07,1.44,1.37,1.42
1996/08,1.32,1.39,1.33
1996/09,1.54,1.68,1.6
1996/10,1.32,1.35,1.25
1996/11,1.67,1.89,1.52
1996/12,2.43,2.28,3.2
1997/01,2.44,2.47,2.57
1997/02,1.76,1.78,1.68
1997/03,1.11,1.32,1.24
1997/04,1.08,1.09,1.08
1997/05,0.85,0.82,0.91
1997/06,0.88,0.9,0.89
1997/07,0.89,0.86,0.87
1997/08,0.9,0.87,0.89
1997/09,1.25,1.26,1.25
1997/10,0.77,0.73,0.8
1997/11,1.3,1.27,1.12
1997/12,1.35,1.37,1.4
1998/01,2.15,2.14,2.18
1998/02,1.85,1.78,1.75
1998/03,1.16,1.25,1.17
1998/04,0.98,1.12,0.94
1998/05,0.47,0.64,0.8
1998/06,1.2,1.22,1.18
1998/07,0.97,1.03,0.96
1998/08,1,0.95,0.96
1998/09,1.74,1.62,1.62
1998/10,1.41,1.42,1.43
1998/11,2.19,1.98,1.77
1998/12,2.1,2.19,2.44
1999/01,2.68,2.52,2.53
1999/02,1.42,1.33,1.34
1999/03,0.95,0.96,0.93
1999/04,1.02,0.95,0.92
1999/05,0.45,0.43,0.6
1999/06,0.69,0.73,0.66
1999/07,0.66,0.76,0.66
1999/08,0.6,0.62,0.56
1999/09,0.98,1.03,0.97
1999/10,0.59,0.6,0.63
1999/11,1.27,1.21,0.89
1999/12,1.03,1.08,1
2000/01,1.34,1.44,1.34
2000/02,0.84,0.96,0.89
2000/03,0.6,0.67,0.55
2000/04,0.6,0.71,0.57
2000/05,-0.05,0.44,0.37
2000/06,0.81,0.64,0.59
2000/07,0.62,0.58,0.39
2000/08,0.88,0.78,0.55
2000/09,0.75,1.37,0.73
2000/10,0.7,0.99,0.69
2000/11,1.36,1.15,0.86
2000/12,0.69,0.71,1.08
2001/01,0.57,0.81,0.55
2001/02,1.06,0.93,-0.07
2001/03,0.47,0.65,0.63
2001/04,0.46,0.56,0.5
2001/05,-0.53,-0.03,0.23
2001/06,0.6,0.56,0.24
2001/07,-0.1,0.31,-0.26
2001/08,0.51,0.05,0.59
2001/09,0.67,1.02,0.93
2001/10,0.37,0.35,0.45
2001/11,1.3,0.6,0.38
2001/12,-0.25,0.19,0.14
2002/01,0.81,0.7,0.92
2002/02,0.7,0.5,-0.06
2002/03,0.44,0.41,0.51
2002/04,0.3,0.27,0.55
2002/05,-0.22,-0.28,0.2
2002/06,-0.09,0.59,0.49
2002/07,0.24,0.28,0.29
2002/08,0.49,0.58,0.38
2002/09,0.18,0.6,0.6
2002/10,0.36,0.32,0.44
2002/11,0.61,0.51,0.81
2002/12,0.08,-0.15,0.44
2003/01,0.58,0.76,0.4
2003/02,0.34,0.35,0.28
2003/03,0.8,0.41,0.63
2003/04,-0.21,0.52,0.17
2003/05,-0.73,0.16,-0.32
2003/06,0.14,0.46,0.08
2003/07,0.26,0.15,0.14
2003/08,1.04,0.64,0.3
2003/09,0.96,0.56,0.6
2003/10,-0.13,0.2,0.37
2003/11,0.55,0.45,0.83
2003/12,0.17,0.02,0.43
2004/01,0.01,1.22,0.62
2004/02,0.69,0.69,0.6
2004/03,0.72,0.16,0.34
2004/04,0.2,0.26,0.15
2004/05,0.52,-0.15,-0.25
2004/06,0.16,0.14,0.16
2004/07,-0.19,0.27,0.26
2004/08,0.44,0.74,0.62
2004/09,0.66,0.47,0.83
2004/10,0.5,0.83,0.69
2004/11,0.91,0.53,0.85
2004/12,-0.06,0.25,0.21
2005/01,-0.58,-0.06,0
2005/02,0.38,0.17,0.33
2005/03,0.78,0.38,0.45
2005/04,0.88,0.64,0.36
2005/05,-1.26,0.14,-0.25
2005/06,-0.19,0.13,-0.1
2005/07,0.02,0.74,0.39
2005/08,0.14,-0.05,0.12
2005/09,0.3,0,0.4
2005/10,-0.09,-0.01,0.25
2005/11,1.89,0.84,0.72
2005/12,0.19,0.16,0.61
2006/01,0.04,0.32,0.59
2006/02,0.12,0.36,0.15
2006/03,0.27,0.53,0.13
2006/04,0.88,0.08,0.15
2006/05,-1.54,-0.17,-0.45
2006/06,0.28,0.23,0.09
2006/07,-0.08,0.35,0.27
2006/08,0.69,0.28,0.51
2006/09,0.75,0.62,1.01
2006/10,-0.49,0.47,0.44
2006/11,1.24,0.81,0.52
2006/12,0.84,0.41,0.58
2007/01,0.18,0.7,0.52
2007/02,0.54,0.21,0.28
2007/03,0.95,0.06,0.22
2007/04,0.06,0.4,-0.06
2007/05,-1.63,-0.29,-0.49
2007/06,0.13,0.17,0.12
2007/07,0.28,0.23,0.42
2007/08,-0.11,0.46,0.41
2007/09,0.7,0.24,0.78
2007/10,0.08,0,0.39
2007/11,2.13,0.87,0.71
2007/12,0.5,0.51,0.41
2008/01,0.33,0.65,0.46
2008/02,0,0.17,0.3
2008/03,0.13,0.35,0.72
2008/04,0.39,0.54,0.23
2008/05,-1.01,0.04,-0.11
2008/06,0.45,0.88,0.41
2008/07,0.27,0.36,0.56
2008/08,0.52,0.71,0.58
2008/09,0.63,0.3,0.68
2008/10,0.18,0.19,0.68
2008/11,1.46,1.67,1.14
2008/12,-0.73,0.35,0.69
2009/01,0.45,0.7,0.23
