Periodo,Índice al por mayor,Índice al por menor,Variación anual al por mayor,Variación anual al por menor
2008/01,85,46.6,0,0
2008/02,83.9,46,0,0
2008/03,84.4,47.5,0,0
2008/04,95.2,50.9,0,0
2008/05,91.8,50.5,0,0
2008/06,93,52.7,0,0
2008/07,89.5,54,0,0
2008/08,85.2,51.5,0,0
2008/09,88.7,49.7,0,0
2008/10,84.4,54,0,0
2008/11,76.6,51.2,0,0
2008/12,85,55,0,0
2009/01,73.2,44.1,-13.8,-5.4
2009/02,73.6,44,-12.3,-4.3
2009/03,77.4,46.8,-8.3,-1.4
2009/04,77.4,45.9,-18.7,-9.8
2009/05,79.3,47.3,-13.6,-6.4
2009/06,82.7,47,-11.1,-10.7
2009/07,80.7,47.9,-9.9,-11.2
2009/08,79.1,46.8,-7.2,-9.2
2009/09,75.5,46.2,-14.9,-7
2009/10,76,50.4,-9.9,-6.6
2009/11,74.4,51.1,-2.8,-0.2
2009/12,82.8,56.6,-2.5,2.9
2010/01,72.1,47.4,-1.5,7.5
2010/02,76.9,46,4.6,4.7
2010/03,85.2,51,10,8.9
2010/04,82.2,47.7,6.3,3.8
2010/05,82.8,49.5,4.4,4.8
2010/06,86.4,50.7,4.5,7.9
2010/07,83.8,50.3,3.8,5
2010/08,80.2,51.5,1.4,10
2010/09,81.8,50.3,8.4,8.8
2010/10,83.8,54.7,10.2,8.6
2010/11,83.6,55.2,12.3,8.1
2010/12,94.4,63.4,14,12
2011/01,71.5,51.4,-0.9,8.5
2011/02,74.2,50.1,-3.5,8.8
2011/03,79,54.8,-7.3,7.5
2011/04,77.2,54.1,-6.1,13.4
2011/05,77.5,54.5,-6.4,10.1
2011/06,80,55.8,-7.4,10
2011/07,78.4,55.2,-6.4,9.8
2011/08,79.8,59.7,-0.4,15.9
2011/09,78.8,59.8,-3.6,18.9
2011/10,85.7,64.7,2.3,18.1
2011/11,82.7,66.6,-1,20.6
2011/12,90.9,71.1,-3.6,12.2
2012/01,78,56.1,9.1,9.2
2012/02,76.7,57.3,3.3,14.4
2012/03,85.7,62.4,8.5,13.7
2012/04,73.8,61,-4.4,12.8
2012/05,85.5,64.1,10.4,17.6
2012/06,88.4,63.5,10.5,13.8
2012/07,87.6,62.6,11.6,13.3
2012/08,87.9,66.1,10.1,10.7
2012/09,79.9,63.6,1.4,6.4
2012/10,85.8,77.3,0.1,19.5
2012/11,84.9,78.8,2.7,18.2
2012/12,90.4,82,-0.6,15.2
2013/01,82,69.3,5.1,23.6
2013/02,83.1,68.7,8.3,19.9
2013/03,81.5,73.6,-4.9,18.1
2013/04,84.6,73,14.7,19.7
2013/05,83.9,76.4,-1.9,19.2
2013/06,80.6,74.9,-8.8,17.8
2013/07,84.9,76,-3,21.4
2013/08,82.6,76.6,-6.1,16
2013/09,82,72.5,2.7,14
2013/10,93.5,81.7,8.9,5.8
2013/11,90.4,83.4,6.4,5.9
2013/12,95.9,88.4,6.1,7.9
2014/01,87.5,71.9,6.7,3.8
2014/02,85.4,68,2.8,-1
2014/03,89.4,73.3,9.6,-0.4
2014/04,83.7,73,-1.1,-0.1
2014/05,89,77.1,6,0.9
2014/06,88.8,75,10.1,0.2
2014/07,90.2,77,6.2,1.3
2014/08,92.2,76.9,11.6,0.4
2014/09,89.1,77.8,8.6,7.3
2014/10,96.4,84.1,3.1,2.9
2014/11,94.3,87.7,4.3,5.1
2014/12,102.3,91.5,6.7,3.4
2015/01,89.3,75.1,2,4.5
2015/02,84.5,71.9,-1.1,5.8
2015/03,92.2,79.4,3.1,8.2
2015/04,89.2,77.5,6.6,6.3
2015/05,95.9,80.9,7.8,4.9
2015/06,95.7,82.3,7.8,9.8
2015/07,99.2,84.3,10,9.5
2015/08,94.1,83,2,7.9
2015/09,89.7,83.4,0.7,7.2
2015/10,95.1,90.3,-1.3,7.4
2015/11,96.5,91.4,2.3,4.3
2015/12,108.9,97,6.4,6
2016/01,93.2,81.8,4.4,8.9
2016/02,95.4,79.1,12.9,10
2016/03,100,89.4,8.5,12.7
2016/04,97.5,89.1,9.2,14.9
2016/05,101.6,90.6,5.9,12
2016/06,115,95.4,20.1,15.8
