Variable,2003,2008,2013,2018
Unidades económicas,182,158,130,164
Personal ocupado total,"11,535","5,749","4,614","5,227"
Personal ocupado hombres,"10,388","4,947","3,973","4,111"
Personal ocupado mujeres,"1,147",802,641,"1,116"
Horas trabajadas (miles de horas),"26,332","13,152","10,495","12,396"
Total de remuneraciones (millones de pesos),323.3,317.4,280.6,351.5
Total de gastos por consumo de bienes y servicios (millones de pesos),"2,706.40","3,844.10","2,103.90","2,923.70"
Total de ingresos por suministro de bienes y servicios (millones de pesos),"4,074.10","4,921.00","2,935.70","4,818.60"
Producción bruta total (millones de pesos),"3,969.80","4,675.10","2,938.20","4,815.90"
Valor agregado censal bruto (millones de pesos),"1,269.40",834.2,835,"1,893.50"
