Tipo de cruce/año,Paso del Norte,Stanton,Américas,Zaragoza,Zaragoza (Línea Express),Tornillo (Antigua instalación),Tornillo (Nueva instalación),Santa Teresa,Total
Camiones de carga 2001,0,0,"334,918","331,082",0,0,,"29,820","695,820"
Autobuses 2001,"1,878",0,"8,415",263,0,0,,32,"10,588"
Vehículos de pasajeros 2001,"4,631,951","386,170","7,019,000","3,936,633",0,"556,348",,"204,799","16,734,901"
Peatones 2001,"5,928,055",0,"769,217","503,898",0,"29,101",,"3,772","7,234,043"
Camiones de carga 2002,0,0,"375,303","328,956",0,0,,"28,054","732,313"
Autobuses 2002,"19,303",0,"12,667",341,0,0,,137,"32,448"
Vehículos de pasajeros 2002,"3,371,252","1,033,739","4,749,474","3,552,869",0,"548,338",,"381,843","13,637,515"
Peatones 2002,"7,551,991",0,"1,207,690","841,173",0,"31,293",,"13,197","9,645,344"
Camiones de carga 2003,0,0,"345,896","313,737",0,0,,"28,673","688,306"
Autobuses 2003,"16,138",0,"13,351",541,0,0,,248,"30,278"
Vehículos de pasajeros 2003,"4,173,265","1,475,372","4,679,772","3,370,044",0,"494,384",,"293,457","14,486,294"
Peatones 2003,"7,080,194",0,"1,021,293","797,457",0,"23,983",,"16,864","8,939,791"
Camiones de carga 2004,0,0,"382,662","336,883",0,0,,"29,185","748,730"
Autobuses 2004,"6,010",0,"10,904",617,0,0,,84,"17,615"
Vehículos de pasajeros 2004,"3,909,771","1,451,299","6,124,883","3,330,288",0,"505,357",,"227,776","15,549,374"
Peatones 2004,"6,919,181",0,"774,079","748,033",0,"18,098",,"13,927","8,473,318"
Camiones de carga 2005,0,0,"393,442","347,212",0,0,,"34,072","774,726"
Autobuses 2005,"2,176",0,"12,969",712,0,0,,116,"15,973"
Vehículos de pasajeros 2005,"3,447,088","1,244,356","8,065,901","3,200,108",0,"480,194",,"257,345","16,694,992"
Peatones 2005,"6,344,521",0,"612,021","682,259",0,"14,856",,"15,027","7,668,684"
Camiones de carga 2006,0,0,"387,281","387,360",0,0,,"36,905","811,546"
Autobuses 2006,"1,534",0,"12,891",438,0,0,,122,"14,985"
Vehículos de pasajeros 2006,"3,393,000","1,068,397","7,686,204","3,319,723","99,258","459,292",,"318,095","16,343,969"
Peatones 2006,"6,188,488",0,"586,520","724,766",0,"15,726",,"33,169","7,548,669"
Camiones de carga 2007,0,0,"398,483","383,886",0,0,,"41,355","823,724"
Autobuses 2007,"3,169",0,"13,923",796,0,0,,267,"18,155"
Vehículos de pasajeros 2007,"2,997,897","1,388,402","5,634,864","3,575,134","270,591","446,265",,"440,857","14,754,010"
Peatones 2007,"6,846,500",0,"736,978","822,354",0,"19,694",,"23,824","8,449,350"
Camiones de carga 2008,0,0,"414,556","344,300",0,0,,"45,856","804,712"
Autobuses 2008,"9,454",0,"14,984",276,0,0,,341,"25,055"
Vehículos de pasajeros 2008,"2,169,071","1,259,235","6,234,097","3,527,551","527,224","426,962",,"373,905","14,518,045"
Peatones 2008,"6,238,781",0,"809,578","980,574",0,"33,752",,"21,577","8,084,262"
Camiones de carga 2009,0,0,"316,731","315,947",0,0,,"57,409","690,087"
Autobuses 2009,"7,474",0,"11,918",82,0,0,,329,"19,803"
Vehículos de pasajeros 2009,"2,010,814","1,219,274","4,338,255","2,395,551","587,804","415,918",,"473,627","11,441,243"
Peatones 2009,"5,383,324",0,"902,311","1,203,861",0,"58,638",,"37,312","7,585,446"
Camiones de carga 2010,0,0,"321,721","386,139",0,0,,"78,543","786,403"
Autobuses 2010,"8,952",0,"13,875",8,0,0,,440,"23,275"
Vehículos de pasajeros 2010,"2,340,015","1,242,118","3,572,706","2,091,508","721,585","280,960",,"478,970","10,727,862"
Peatones 2010,"4,663,490",0,"1,011,462","1,255,702",0,"52,769",,"116,716","7,100,139"
Camiones de carga 2011,0,0,"337,609","379,508",0,0,,"72,166","789,283"
Autobuses 2011,"11,735",0,"11,682",3,0,0,,315,"23,735"
Vehículos de pasajeros 2011,"2,023,439","1,107,030","3,268,176","1,857,039","700,744","236,255",,"408,614","9,601,297"
Peatones 2011,"3,779,653",0,"975,417","1,192,503",0,"55,798",,"120,813","6,124,184"
Camiones de carga 2012,0,0,"314,730","409,930",0,0,,"81,339","805,999"
Autobuses 2012,"12,613",0,"10,192",3,0,0,,258,"23,066"
Vehículos de pasajeros 2012,"2,065,071","1,192,299","3,281,025","2,172,301","752,585","237,929",,"381,903","10,083,113"
Peatones 2012,"4,111,579",0,"879,409","1,099,885",0,"57,698",,"103,119","6,251,690"
Camiones de carga 2013,0,0,"315,043","424,596",0,0,,"80,778","820,417"
Autobuses 2013,"11,619",0,"9,855",0,0,0,,215,"21,689"
Vehículos de pasajeros 2013,"2,320,026","1,154,056","3,588,494","2,846,525","737,616","219,948",,"427,154","11,293,819"
Peatones 2013,"3,973,124",0,"1,124,826","927,948",0,"65,201",,"144,759","6,235,858"
Camiones de carga 2014,0,0,"313,070","438,348",0,0,,"87,677","839,095"
Autobuses 2014,"11,671",0,"9,883",0,0,0,,129,"21,683"
Vehículos de pasajeros 2014,"2,395,392","1,147,362","3,819,682","3,238,947","769,835","210,665",,"463,799","12,269,837"
Peatones 2014,"4,619,910",0,"888,355","1,064,048",0,"53,455",,"175,076","6,799,615"
Camiones de carga 2015,0,0,"496,802","261,272",0,0,,"102,771","860,845"
