Año,Concepto,Automóviles,Camiones para pasajeros,Camiones y camionetas para carga,Motocicletas,Total
1990,Estado de Chihuahua,"349,464","5,960","187,460","12,389","555,273"
1990,Municipio de Juárez,"206,254","3,284","22,188","5,019","236,745"
1991,Estado de Chihuahua,"351,763","2,400","274,184","13,007","641,354"
1991,Municipio de Juárez,"188,965","1,193","83,014","5,267","278,439"
1992,Estado de Chihuahua,"353,014","2,244","278,986","13,007","647,251"
1992,Municipio de Juárez,"189,637","1,115","84,468","5,267","280,487"
1993,Estado de Chihuahua,"304,204","2,506","212,246",0,"518,956"
1993,Municipio de Juárez,"141,345","2,011","49,194",0,"192,550"
1994,Estado de Chihuahua,"354,556","2,925","237,674","13,707","608,862"
1994,Municipio de Juárez,"176,661","2,122","58,656","5,506","242,945"
1995,Estado de Chihuahua,"393,623","3,604","253,323",0,"650,550"
1995,Municipio de Juárez,"208,628","2,716","67,604",0,"278,948"
1996,Estado de Chihuahua,"432,390","3,831","260,663",0,"696,884"
1996,Municipio de Juárez,"249,866","2,854","76,572",0,"329,292"
1997,Estado de Chihuahua,"476,927","4,168","270,389",0,"751,484"
1997,Municipio de Juárez,"287,340","3,098","83,691",0,"374,129"
1998,Estado de Chihuahua,"532,676","5,185","285,434",709,"824,004"
1998,Municipio de Juárez,"337,249","3,980","94,065",389,"435,683"
1999,Estado de Chihuahua,"479,082","5,415","263,767","2,570","750,834"
1999,Municipio de Juárez,"302,031","3,962","85,334",589,"391,916"
2000,Estado de Chihuahua,"469,932","5,587","332,930","3,541","811,990"
2000,Municipio de Juárez,"278,034","3,829","91,021",695,"373,579"
2001,Estado de Chihuahua,"617,720","5,312","333,775","2,935","959,742"
2001,Municipio de Juárez,"274,394","3,698","77,122",487,"355,701"
2002,Estado de Chihuahua,"622,990","5,993","360,205","3,802","992,990"
2002,Municipio de Juárez,"280,595","4,209","79,981",630,"365,415"
2003,Estado de Chihuahua,"619,349","5,771","356,259","4,063","985,442"
2003,Municipio de Juárez,"281,217","3,961","73,800",714,"359,692"
2004,Estado de Chihuahua,"581,940","5,332","342,933","4,318","934,523"
2004,Municipio de Juárez,"273,532","3,556","70,804",771,"348,663"
2005,Estado de Chihuahua,"630,939","5,407","359,941","5,005","1,001,292"
2005,Municipio de Juárez,"302,333","3,566","76,758",954,"383,611"
2006,Estado de Chihuahua,"723,373","5,314","371,156","5,543","1,105,386"
2006,Municipio de Juárez,"342,909","3,380","83,940","1,141","431,370"
2007,Estado de Chihuahua,"724,024","5,172","364,044","6,056","1,099,296"
2007,Municipio de Juárez,"331,690","3,204","81,975","1,407","418,276"
2008,Estado de Chihuahua,"753,590","5,344","370,044","6,656","1,135,634"
2008,Municipio de Juárez,"349,303","3,346","85,948","1,551","440,148"
2009,Estado de Chihuahua,"787,052","5,635","380,791","7,683","1,181,161"
2009,Municipio de Juárez,"355,573","3,569","86,630","1,639","447,411"
2010,Estado de Chihuahua,"814,024","6,032","386,612","8,236","1,214,904"
2010,Municipio de Juárez,"373,082","3,644","89,969","1,786","468,481"
2011,Estado de Chihuahua,"805,249","5,627","364,019","8,683","1,183,578"
2011,Municipio de Juárez,"366,502","3,221","85,055","2,288","457,066"
2012,Estado de Chihuahua,"840,569","5,610","371,240","11,778","1,229,197"
2012,Municipio de Juárez,"375,664","3,124","85,548","3,939","468,275"
2013,Estado de Chihuahua,"915,603","5,825","394,450","13,480","1,329,358"
2013,Municipio de Juárez,"398,359","3,136","89,015","4,913","495,423"
2014,Estado de Chihuahua,"983,916","6,219","417,124","16,738","1,423,997"
2014,Municipio de Juárez,"416,668","3,150","92,406","5,910","518,134"
2015,Estado de Chihuahua,"1,033,163","6,613","427,445","19,986","1,487,207"
2015,Municipio de Juárez,"432,127","3,324","94,783","6,813","537,047"
2016,Estado de Chihuahua,"1,139,419","7,929","461,330","22,060","1,630,738"
2016,Municipio de Juárez,"462,806","3,358","99,628","7,525","573,317"
2017,Estado de Chihuahua,"1,076,600","8,459","427,997","22,957","1,536,013"
2017,Municipio de Juárez,"420,133","3,704","90,598","7,763","522,198"
2018,Estado de Chihuahua,"1,129,300","8,897","435,620","25,784","1,599,601"
2018,Municipio de Juárez,"444,781","4,029","93,782","8,337","550,929"
2019,Estado de Chihuahua,"1,186,328","9,527","446,972","29,278","1,672,105"
2019,Municipio de Juárez,"473,903","4,182","98,943","9,143","586,171"
2020,Estado de Chihuahua,"1,226,483","10,033","456,640","32,027","1,725,183"
2020,Municipio de Juárez,"494,841","4,220","102,531","9,546","611,138"
2021,Estado de Chihuahua,"1,270,537","10,373","466,531","35,186","1,782,627"
2021,Municipio de Juárez,"516,550","4,369","106,593","10,080","637,592"
2022,Estado de Chihuahua,"1,371,682","10,531","511,408","38,199","1,931,820"
2022,Municipio de Juárez,"565,718","4,336","119,788","10,526","700,368"
2023,Estado de Chihuahua,"1,326,545","9,890","506,638","36,057","1,879,130"
2023,Municipio de Juárez,"552,665","3,539","123,472","8,883","688,559"
