Periodo,Área geográfica,Año,A,B,C
2001-2011,Área geográfica,2001,40.35,37.95,35.85
2001-2011,Área geográfica,2002,42.15,40.1,38.3
2001-2011,Área geográfica,2003,43.65,41.85,40.3
2001-2011,Área geográfica,2004,45.24,43.73,42.11
2001-2011,Área geográfica,2005,46.8,45.35,44.05
2001-2011,Área geográfica,2006,48.67,47.16,45.81
2001-2011,Área geográfica,2007,50.57,49,47.6
2001-2011,Área geográfica,2008,52.59,50.96,49.5
2001-2011,Área geográfica,2009,54.8,53.26,51.95
2001-2011,Área geográfica,2010,57.46,55.84,54.47
2001-2011,Área geográfica,2011,59.82,58.13,56.7
2012-2015,Área geográfica 1,2012,62.33,59.08,
2012-2015,Área geográfica 1,2013,64.76,61.38,
2012-2015,Área geográfica 1,2014,67.29,63.77,
2012-2015,Área geográfica 1,2015,70.1,66.45,
2015-2018,Área geográfica única,2015,70.1,,
2015-2018,Área geográfica única,2016,73.04,,
2015-2018,Área geográfica única,2017,80.04,,
2015-2018,Área geográfica única,2018,88.36,,
