Mes,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Enero,"3,246","4,044","2,300","3,084","4,031","3,330","7,387","5,154","6,813","5,825","6,776","8,277","5,695","1,734"
Febrero,"1,889","2,710","3,078","1,840","2,700",-915,"1,914","4,012","1,526",-135,"-1,582","6,618","2,378",265
Marzo,"1,371","2,396",367,"2,437","3,339","1,207","3,642",536,"-1,417","-2,488",973,"3,400","1,085","-1,908"
Abril,843,"3,005","1,315","1,725","3,223","2,403","-1,370",-181,"-1,244","-2,456",647,-703,"-1,356",792
Mayo,-688,"1,924","1,382","4,425","2,774",529,-170,856,-340,"-3,003",-791,"-2,761","-1,929",-291
Junio,461,-460,-169,"1,953","3,365","2,281","1,180","-1,033",-894,"3,609",-844,-807,"-1,072","-1,854"
Julio,-672,"1,621","1,146","2,014","6,658","2,160","-1,095",125,"1,342","9,362",462,655,"-3,139",-722
Agosto,718,-223,401,"2,635",-578,"3,331","-1,544","1,825","-1,695","2,670",982,"1,483","-1,315","-1,544"
Septiembre,-300,"2,057",219,"3,270","4,405","3,908",459,"2,038","1,462","2,279","3,254","2,999","-2,337",208
Octubre,"-1,091",873,"2,618","2,588","3,324","2,707",706,"1,658",444,"3,161","1,867",350,"-1,325",-141
Noviembre,110,"2,587",451,684,"-1,123",221,666,346,"-1,781","4,099","-1,205","-1,692","-1,555",-976
Diciembre,-731,"-1,288","-2,676","-1,655","-3,579","-11,229","-5,771","-5,422","-5,412","-1,965","-6,052","-7,803","-9,363","-4,042"
