Año/Mes,Total nacional,Estado Chihuahua,Juárez,Otros municipios,Extra
2007/07,"5,062",471,81,324,66
2007/08,"5,082",474,82,326,66
2007/09,"5,108",475,84,325,66
2007/10,"5,128",475,83,326,66
2007/11,"5,143",473,83,325,65
2007/12,"5,140",474,84,325,65
2008/01,"5,180",475,85,325,65
2008/02,"5,169",482,86,329,67
2008/03,"5,214",487,86,334,67
2008/04,"5,214",487,86,334,67
2008/05,"5,240",487,86,335,66
2008/06,"5,254",486,85,336,65
2008/07,"5,257",484,85,334,65
2008/08,"5,252",484,85,335,64
2008/09,"5,235",484,90,331,63
2008/10,"5,248",483,90,331,62
2008/11,"5,259",485,91,332,62
2008/12,"5,254",485,91,332,62
2009/01,"5,207",484,92,331,61
2009/02,"5,201",485,92,332,61
2009/03,"5,186",485,92,332,61
2009/04,"5,203",489,92,336,61
2009/05,"5,223",487,91,335,61
2009/06,"5,249",490,91,338,61
2009/07,"5,250",490,91,338,61
2009/08,"5,247",490,91,337,62
2009/09,"5,183",488,92,335,61
2009/10,"5,204",485,91,335,59
2009/11,"5,204",487,90,338,59
2009/12,"5,214",488,90,339,59
2010/01,"5,260",488,93,336,59
2010/02,"5,271",484,93,333,58
2010/03,"5,283",487,93,336,58
2010/04,"5,282",486,94,334,58
2010/05,"5,289",494,96,339,59
2010/06,"5,279",497,95,343,59
2010/07,"5,237",490,93,339,58
2010/08,"5,196",487,92,338,57
2010/09,"5,123",476,91,329,56
2010/10,"5,123",475,91,328,56
2010/11,"5,112",481,91,334,56
2010/12,"5,108",478,90,332,56
2011/01,"5,106",481,90,334,57
2011/02,"5,108",481,91,332,58
2011/03,"5,113",477,93,326,58
2011/04,"5,087",475,93,324,58
2011/05,"5,077",477,94,324,59
2011/06,"5,084",479,94,326,59
2011/07,"5,102",480,94,326,60
2011/08,"5,109",483,95,328,60
2011/09,"5,045",480,93,327,60
2011/10,"5,084",480,93,327,60
2011/11,"5,094",480,93,327,60
2011/12,"5,079",476,93,324,59
2012/01,"5,083",473,93,322,58
2012/02,"5,101",473,93,322,58
2012/03,"5,096",473,93,322,58
2012/04,"5,112",474,93,323,58
2012/05,"5,113",476,94,322,60
2012/06,"5,133",479,94,325,60
2012/07,"5,154",482,94,327,61
2012/08,"5,160",483,95,327,61
2012/09,"5,162",484,95,328,61
2012/10,"5,097",483,95,326,62
2012/11,"5,101",485,95,328,62
2012/12,"5,104",485,96,327,62
2013/01,"5,114",477,96,320,61
2013/02,"5,138",477,96,320,61
2013/03,"5,150",478,97,320,61
2013/04,"5,155",480,97,323,60
2013/05,"5,163",480,97,323,60
2013/06,"5,118",478,96,322,60
2013/07,"5,130",477,96,321,60
