Nombre de la Dependencia Federal,Siglas
ADUANA FRONTERIZA CÓRDOVA-AMÉRICAS,
ADUANA FRONTERIZA SAN JERÓNIMO-SANTA TERESA,
ADUANA FRONTERIZA SANTA FE,
ADUANA FRONTERIZA ZARAGOZA ISLETA,
CÁMARA NACIONAL DE COMERCIO,CANACO
CÁMARA NACIONAL DE LA INDUSTRIA DE DESARROLLO Y PROMOCIÓN DE VIVIENDA,CANADEVI
CÁMARA NACIONAL DE LOS DERECHOS HUMANOS,CNDH
COMISIÓN FEDERAL DE ELECTRICIDAD*,CFE
COMISIÓN NACIONAL DEL AGUA,CONAGUA
COMISIÓN NACIONAL PARA LA DEFENSA DE LOS USUARIOS DE LAS INSTITUCIONES FINANCIERAS,CONDUSEF
COORDINACIÓN ESTATAL CHIHUAHUA,PFP
DELEGACIÓN FEDERAL DE LA SECRETARÍA DE ECONOMÍA,SE
GUARNICIÓN MILITAR,SEDENA
INSTITUTO NACIONAL DE ESTADÍSTICA Y GEOGRAFÍA,INEGI
INSTITUTO NACIONAL DE MIGRACIÓN,INM
PROCURADURÍA DE LA DEFENSA DEL CONTRIBUYENTE,PRODECON
PROCURADURÍA FEDERAL DE PROTECCIÓN AL AMBIENTE,PROFEPA
PROCURADURÍA FEDERAL DEL CONSUMIDOR,PROFECO
PROCURADURÍA GENERAL DE LA REPÚBLICA,PGR
"SECRETARÍA DE AGRICULTURA, GANADERÍA, DESARROLLO RURAL, PESCA Y ALIMENTACIÓN",SAGARPA
SECRETARÍA DE COMUNICACIONES Y TRANSPORTES,SCT
"SECRETARÍA DE DESARROLLO AGRARIO, TERRITORIAL Y URBANO",SEDATU
SECRETARÍA DE DESARROLLO SOCIAL,SEDESOL
SECRETARÍA DE GOBERNACIÓN,SEGOB
SECRETARÍA DE HACIENDA Y CRÉDITO PÚBLICO,SHCP
SECRETARÍA DE MEDIO AMBIENTE Y RECURSOS NATURALES,SEMARNAT
SECRETARÍA DE RELACIONES EXTERIORES,SRE
SECRETARÍA DE SEGURIDAD PÚBLICA,SSP
SECRETARÍA DEL TRABAJO Y PREVISIÓN SOCIAL,STPS
SERVICIO DE ADMINISTRACIÓN Y ENAJENACIÓN DE BIENES,SAE
VIVERO FORESTAL MILITAR,SEDENA
