Concepto,Cantidad
Casas de asistencia social,71
Centro de atención al adulto mayor,39
Centros de atención para personas con discapacidad,69
Centros Comunitarios (Municipales),48
Centros Comunitarios (Estatales),15
Centros Comunitarios (Otros),25
Centro de Integración Juvenil,2
Centros de Bienestar Infantil,167
Centros de Adicción,72
Centros de Rehabilitación Alcohólicos Anónimos,132
Albergues infantiles,47
Guarderías,75
Guarderías - IMSS,32
Guarderías - Particulares,41
Guarderías - Otros,2
Total,762
