Año,Ene,Feb,Mar,Abr,May,Jun,Jul,Ago,Sep,Oct,Nov,Dic,Total anual
2000,0,0.76,1.52,7.11,NS,62.23,40.39,17.78,NS,20.83,26.92,10.67,188.21
2001,1.52,6.1,10.16,NS,4.57,7.62,9.14,43.69,7.62,NS,15.24,3.3,108.97
2002,NS,30.99,0,0,NS,8.89,34.04,19.3,12.19,27.69,NS,41.91,175.01
2003,NS,34.8,4.57,0.51,NS,12.45,13.97,16.76,2.03,8.38,13.21,0.25,106.93
2004,9.14,1.27,20.32,26.92,12.7,23.62,43.18,77.22,22.61,9.91,51.05,9.14,307.09
2005,16.76,48.77,2.03,3.56,23.62,NS,16.76,110.49,70.36,34.54,0,NS,326.9
2006,0.51,7.11,NS,0.25,22.61,6.86,80.52,173.99,126.75,23.37,1.52,1.27,444.75
2007,45.97,4.83,0.51,7.87,33.02,12.95,52.83,14.48,43.43,2.29,27.18,11.68,257.05
2008,3.56,3.81,NS,NS,0.76,12.19,110.24,66.29,38.61,3.81,4.32,6.86,250.44
2009,0.25,NS,1.52,0.25,19.56,56.9,12.45,14.99,63.5,5.33,24.38,21.34,220.47
2010,16.76,36.32,0.51,3.3,0.25,27.43,27.18,7.87,41.15,4.57,NS,4.06,169.42
2011,NS,2.79,0,0,0,1.27,65.79,28.19,10.92,0.25,5.84,18.8,133.86
2012,16.76,0.51,2.03,2.29,13.46,NS,60.71,16.51,35.81,2.54,0.51,2.29,153.42
2013,7.62,10.41,NS,NS,4.57,4.06,79.5,28.45,97.79,NS,2.54,6.6,241.55
2014,0,NS,4.57,11.43,0.25,0.25,17.53,45.47,107.44,24.89,2.79,3.05,217.68
2015,21.59,0.76,15.49,6.1,20.57,4.57,73.15,39.37,8.38,82.3,7.11,27.43,306.83
2016,11.68,1.78,0.25,1.02,1.52,8.38,6.1,120.9,53.85,0,9.91,21.84,237.24
2017,26.67,4.06,NS,3.56,0.76,29.46,85.6,51.05,29.46,1.27,7.11,17.27,256.29
2018,2.54,17.02,5.33,NS,10.41,9.4,34.54,29.46,30.73,61.98,0.25,10.92,212.6
2019,2.54,3.05,6.35,2.03,4.06,24.64,4.57,22.61,39.12,34.04,43.94,18.29,205.23
2020,6.86,19.81,51.31,0,5.33,6.35,37.34,1.27,14.99,4.57,NS,0.51,148.34
2021,4.57,10.16,NS,6.1,4.57,60.2,121.92,62.48,11.94,NS,8.64,14.99,305.56
2022,0.76,10.16,3.81,0,0,31.5,6.1,72.14,41.91,48.51,3.05,8.64,226.57
2023,5.84,10.41,1.27,0,2.79,0.76,7.62,36.58,24.13,8.89,6.86,5.08,110.24
2024,6.6,12.45,1.02,0.51,NS,18.03,34.04,15.24,12.7,1.27,18.29,NS,120.14
2025,1.02,0.76,1.02,9.91,NS,,,,,,,,
Media,8.06,10.73,5.14,3.57,7.13,17.2,43.01,45.3,37.9,16.45,11.23,10.65,217.23
Máx,45.97,48.77,51.31,26.92,33.02,62.23,121.92,173.99,126.75,82.3,51.05,41.91,444.75
Min,0,NS,0,0,0,NS,4.57,1.27,NS,0,0,NS,106.93
