Fecha,O3 Media,O3 Máximo,O3 Mínimo,SO2 Media,SO2 Máximo,SO2 Mínimo,CO Media,CO Máximo,CO Mínimo,NO2 Media,NO2 Máximo,NO2 Mínimo
2019/01,0.023,0.411,0.001,0.006,0.443,0.003,0.67,40.43,-0.56,0.018,0.058,-0.01
2019/02,0.029,0.414,0,0.007,0.452,0.003,0.51,40.08,-0.19,0.016,0.059,-0.006
2019/03,0.039,0.409,0.001,0.006,0.469,0.001,0.45,153.5,-0.2,0.01,0.054,-0.009
2019/04,0.043,0.402,0,0.005,0.398,0.002,0.44,40.73,-0.13,0.01,0.083,-0.002
2019/05,0.047,0.402,0,0.005,0.436,0.001,0.27,42.16,-0.2,0.007,0.049,-0.009
2019/06,0.044,0.401,0,0.005,0.417,0.001,0.26,41.86,-0.29,0.007,0.048,-0.012
2019/07,0.047,0.413,0,0.005,0.413,0.001,0.18,41.59,-0.27,0.006,0.065,-0.009
2019/08,0.049,0.406,0,0.005,0.413,-0.002,0.36,41.8,-0.57,0.007,0.067,-0.016
2019/09,0.035,0.401,0,0.005,0.406,0.001,0.42,41.82,-0.08,0.004,0.062,-0.013
2019/10,0.029,0.415,0,0.006,0.406,0.001,0.31,41.57,-0.57,0.005,0.094,-0.018
2019/11,0.025,0.417,0,0.005,0.403,0.001,0.66,41.56,-0.2,0.015,0.072,-0.013
2019/12,0.022,0.414,0,0.005,0.398,0.001,0.96,41.38,0,0.017,0.084,-0.012
Promedio anual 2019,0.036,0.409,0,0.005,0.421,0.001,0.458,50.707,-0.272,0.01,0.066,-0.011
2020/01,0.024,0.415,0,0.005,0.394,0.001,0.72,41.42,0,0.013,0.1,-0.014
2020/02,0.026,0.482,0,0.005,0.45,0.001,0.68,45.84,0,0.011,0.135,-0.011
2020/03,0.032,0.414,0,0.005,0.404,0.002,1.2,41.49,0,0.006,0.091,-0.009
2020/04,0.043,0.413,0,0.005,0.402,0.002,3.62,40.97,0,0.002,0.084,-0.006
2020/05,0.048,0.437,0,0.005,0.403,0,0.46,41.09,0,0.004,0.085,-0.005
2020/06,0.045,0.407,0,0.004,0.404,0,0.39,41.07,0,0.007,0.078,-0.012
2020/07,0.045,0.458,0,0.005,0.45,0,0.47,45.06,0,0.005,0.091,-0.009
2020/08,0.046,0.408,0,0.005,0.414,0,0.47,42.17,0,0.007,0.089,-0.003
2020/09,0.036,0.406,0,0.005,0.411,0,0.53,42.2,0,0.01,0.077,-0.003
2020/10,0.028,2.45,0,0.006,0.397,0,0.74,41.61,0,0.021,0.127,-0.002
2020/11,0.026,2.28,0,0.007,0.404,0,0.79,41.92,0,0.024,0.098,-0.002
2020/12,0.023,0.401,0,0.006,0.413,0,0.81,41.95,0,0.018,0.213,-0.018
Promedio anual 2020,0.035,0.748,0,0.005,0.412,0,0.907,42.233,0,0.011,0.106,-0.008
2021/01,0.023,0.401,0,0.005,0.412,0,0.81,42.67,0,0.016,0.109,-0.013
2021/02,0.028,0.396,0,0.002,0.091,0,0.86,44.62,0.1,0.014,0.114,-0.018
2021/03,0.017,0.396,0,-,-,-,0.81,42.88,0.16,0.009,0.087,-0.01
2021/04,0.003,0.013,0,0.005,0.408,0,0.89,42.91,0,0.005,0.073,-0.007
2021/05,0.034,0.441,0,0.005,0.409,0,1.08,42.84,0.43,0.01,0.113,0
2021/06,0.043,0.45,0,0.005,0.404,0,1,42.58,0.51,0.006,0.068,0
2021/07,0.05,0.45,0,0.005,0.393,0,0.99,41.87,0.51,0.005,0.065,0
