Registro,Dato,Fecha
"Máxima en 24 horas","426.72 mm","13-14 de diciembre de 1987"
"Máxima mensual","657.86 mm","Diciembre de 1987"
"Máxima en un periodo de 12 meses","894.08 mm","Nov 1982 - Abr 1983"
"Máxima estacional","825.5 mm","Nov 1987 - Feb 1988"
"Acumulación máxima","406.4 mm","14 de diciembre de 1987"
"Primer día de nevada de menos de 10mm",Huella,"16 de octubre de 1925"
"Primer nevada de 10mm o más","25.4 mm","28 de octubre de 1980"
"Última nevada de 10mm o más","50.8 mm","12 de abril de 1980"
"Última nevada de menos de 10mm",Huella,"4 de mayo de 1935"
"Promedio anual (desde 1879)","88.9 mm",
