Fecha,ADVANCE,DELPHI,CANALES LIRA,B. JUÁREZ,BABICORA,ANAPRA,ACS,FEDERAL 3,ZENCO,N. MEXICANA,CHAMIZAL
15/04/2019,94,23,23,128,26,0,0,32,0,0,0
09/04/2019,128,24,16,154,22,0,0,23,0,0,0
03/04/2019,0,42,0,190,27,0,0,28,0,0,0
22/03/2019,58,13,13,102,9,0,0,12,0,0,0
16/03/2019,18,13,13,58,18,0,0,28,0,0,0
10/03/2019,44,14,13,64,24,0,0,18,0,0,0
04/03/2019,32,14,14,72,21,0,0,19,0,0,0
20/02/2019,41,19,18,100,30,0,0,24,0,0,0
14/02/2019,122,22,36,132,31,0,0,28,0,0,0
28/12/2018,20,11,13,25,20,0,0,44,0,0,0
22/12/2018,73,27,15,138,44,0,0,34,0,0,0
16/12/2018,71,22,27,114,45,0,0,54,0,0,0
10/12/2018,101,24,27,157,85,0,0,54,0,0,0
04/12/2018,73,18,14,125,37,0,0,38,0,0,0
28/11/2018,127,47,25,175,45,0,0,50,0,0,0
13/07/2018,54,8,13,57,12,14,0,9,15,58,18
07/07/2018,50,22,17,69,23,29,0,21,18,51,17
19/06/2018,62,12,10,58,0,28,0,18,15,8,18
13/06/2018,110,35,35,133,25,64,0,29,37,133,42
07/06/2018,85,32,37,128,37,55,0,35,36,0,38
01/06/2018,63,21,0,135,22,71,0,8,27,92,28
26/05/2018,101,28,0,78,43,64,0,57,42,127,42
20/05/2018,72,30,0,126,38,63,0,30,37,109,28
14/05/2018,57,24,0,119,30,51,0,27,22,69,18
08/05/2018,71,26,0,168,47,51,0,42,33,105,27
02/05/2018,179,94,0,301,68,138,0,60,104,224,16
26/04/2018,52,19,0,243,40,58,0,36,31,95,37
20/04/2018,91,36,0,143,0,56,0,18,43,126,50
14/04/2018,56,25,0,77,18,25,0,19,8,48,16
08/04/2018,93,28,0,144,31,115,0,0,26,0,47
02/04/2018,73,0,0,173,30,43,0,23,25,0,36
27/03/2018,53,21,0,91,21,27,0,17,25,0,25
21/03/2018,89,39,0,128,47,59,0,45,48,114,45
15/03/2018,175,68,0,214,58,149,0,50,64,302,48
09/03/2018,73,23,0,131,32,60,0,27,20,117,31
03/03/2018,78,34,0,156,79,56,0,47,28,103,56
25/2/2018,37,0,0,66,22,36,0,24,18,62,15
19/2/2018,59,0,0,89,18,49,0,21,19,78,24
13/2/2018,100,43,0,183,62,57,0,74,50,109,42
7/2/2018,76,33,0,153,48,55,0,48,33,112,29
1/2/2018,96,0,0,206,38,49,0,56,35,118,27
29/8/2017,47,19,20,69,24,0,0,22,21,62,25
23/8/2017,58,16,0,61,32,0,0,29,24,93,14
17/8/2017,92,33,32,117,61,0,0,43,38,106,32
11/8/2017,63,15,16,60,24,0,0,11,19,71,19
5/8/2017,41,18,13,48,18,0,0,21,21,49,20
12/7/2017,60,16,18,59,27,0,0,28,24,75,30
6/7/2017,40,13,13,61,27,0,0,19,25,55,17
30/6/2017,73,26,19,94,30,0,0,22,31,75,23
24/6/2017,90,29,50,89,41,0,0,33,69,134,32
18/6/2017,56,118,23,87,48,0,0,21,28,83,25
12/6/2017,68,13,0,96,18,0,0,23,19,69,26
6/6/2017,45,11,0,95,23,0,0,18,16,79,22
31/5/2017,19,0,0,63,34,0,0,18,28,68,26
19/5/2017,33,8,0,32,11,42,0,21,14,56,31
13/5/2017,54,18,0,80,26,0,0,0,21,62,0
7/5/2017,46,8,0,52,17,0,0,0,16,55,0
1/5/2017,36,15,0,88,14,0,0,0,17,42,0
25/4/2017,300,93,0,451,83,0,0,0,88,301,0
19/4/2017,55,23,0,106,21,0,27,0,23,68,0
13/4/2017,48,13,0,73,24,0,43,0,25,56,0
7/4/2017,113,27,0,165,40,0,44,0,46,113,0
1/4/2017,54,28,0,108,29,0,28,0,27,75,0
26/3/2017,43,9,0,133,17,0,22,0,16,54,0
20/3/2017,85,23,0,119,29,0,41,0,26,84,0
14/3/2017,90,37,0,173,45,0,37,0,33,104,0
8/3/2017,103,38,0,184,61,0,61,0,48,112,0
2/3/2017,53,12,0,98,24,0,23,0,190,68,0
24/2/2017,51,18,0,92,21,36,18,8,19,58,0
18/2/2017,117,48,0,0,54,91,0,58,58,169,0
12/02/207,214,53,0,313,14,145,0,45,65,291,0
31/1/2017,80,0,0,121,45,39,29,20,32,112,0
25/1/2017,58,25,0,69,18,29,22,25,32,45,0
19/1/2017,73,13,0,63,20,20,21,13,10,45,4
13/1/2017,105,24,0,160,88,56,63,24,84,140,41
7/1/2017,40,8,0,75,38,32,28,35,28,0,19
1/1/2017,38,5,0,25,25,25,19,4,15,53,5
26/12/2016,84,13,0,110,67,51,50,36,43,71,27
20/12/2016,16,36,0,175,107,95,78,85,87,145,67
14/12/2016,78,26,0,105,35,38,100,97,21,109,38
8/12/2016,27,5,0,37,23,38,34,14,13,33,13
2/12/2016,24,8,0,14,0,0,0,0,0,26,0
26/11/2016,73,13,19,85,55,55,99,75,46,88,37
23/7/2016,170,18,29,109,45,45,11,44,41,58,26
17/7/2016,49,19,19,95,28,33,30,28,33,63,28
11/7/2016,68,18,18,90,23,39,28,28,25,73,23
5/7/2016,98,18,18,91,33,33,39,14,30,47,22
23/6/2016,103,44,30,134,45,58,46,45,53,134,57
6/5/2016,154,40,0,161,101,83,112,98,107,258,118
12/5/2016,140,48,0,195,93,0,145,54,102,157,98
18/5/2016,28,18,0,51,8,25,26,13,16,52,6
24/5/2016,102,33,0,102,28,56,44,33,50,106,38
