Año,Ene,Feb,Mar,Abr,May,Jun,Jul,Ago,Sep,Oct,Nov,Dic,Promedio anual
2000,17.4,20.1,22.2,28.1,33.7,33.4,35.6,34.2,33.4,23.4,15.2,13.5,25.8
2001,12.2,17.7,20.8,26.9,32.3,35.6,35.8,33.6,31.8,27.5,18.6,13.4,25.5
2002,15.1,15.2,21.7,29,31.9,37.2,34.3,35.8,31.7,24.1,17.9,12.4,25.5
2003,17.2,16.3,20.4,26.2,32.2,35.1,36.6,35.1,32.2,27.4,20,14.6,26.1
2004,14.2,14.7,22.7,23.9,32.1,35.1,34.9,32.6,29.6,24.9,15.8,12.7,24.4
2005,15.6,15,19.7,26,30.9,36.3,36.9,32.7,32.6,24.9,21.4,16.4,25.7
2006,17.2,18.7,22.4,28.9,33.5,36.1,34.8,31.4,27.9,24.7,21.3,13.8,25.9
2007,11.2,17.9,23.1,26,29.7,35.4,34.2,34.7,31.7,27.9,20.4,14.3,25.5
2008,13.6,19.4,22.5,26.6,31.2,36.9,32.6,32,28.4,26.8,20.2,16.5,25.6
2009,17.2,20.3,23.3,26.2,32.4,34.5,36.9,35.6,30.6,25.3,20.6,12.9,26.3
2010,13.1,15.5,20.7,25.6,31.7,37,34.4,35.8,32.6,27.3,19.6,18.1,25.9
2011,14.9,15.9,25.6,28.8,31.3,38.6,36.7,37.1,32.8,27.9,19.1,11.3,26.7
2012,16.4,17.6,23.4,29.2,31.5,37.9,34.1,35.8,31.1,28,22.1,15.5,26.9
2013,12.4,16,23.6,27.4,30.8,37.9,33.8,34.3,30,25.9,18.7,13.9,25.4
2014,16.4,20.7,22.4,26.3,30.8,38.4,35.9,32.4,29.3,27.7,18.6,15.8,26.2
2015,13.4,19.5,22.2,25.9,29.8,36.1,35.7,36.4,33.3,26,19.4,15,26.1
2016,14,20.6,24.4,26.3,30.4,36.6,38.6,33.3,30.8,29.4,20.5,15.7,26.7
2017,15.3,20.6,26.4,28.2,31.1,37.3,35,33.8,32.5,28.1,24.1,16.1,27.4
2018,15.8,20.1,23.7,28.8,34.4,38.1,36.3,35.9,32.3,23.6,19.1,14,26.8
2019,14.9,18.1,22,27.6,30.3,35.8,37.6,37.6,32.9,25.6,18.8,14.9,26.3
2020,16.3,16.8,21.9,27.9,33.7,37.1,38.6,38.4,31.9,29.1,23.3,14.7,27.5
2021,15,18.9,22.1,26.7,32.6,36.1,34.1,33.3,32.5,27.9,22.2,18.6,26.7
2022,15,16.5,21.9,29.1,34.1,36.5,37.4,33.7,32.2,25.2,18.6,16.3,26.4
2023,16.1,17.5,22.3,28.1,32.7,37.6,40.6,37.4,36.1,28.7,21.1,17.3,27.9
2024,15.9,19.1,22.1,27.3,33.7,39.1,37.1,37.8,33.7,31.1,21,18.7,28
2025,13,22.4,23.6,27.5,31.8,,,,,,,,
Media,15,18.1,22.6,27.3,31.9,36.6,35.9,34.8,31.7,26.7,19.9,15.1,26.3
Máx,17.4,22.4,26.4,29.2,34.4,39.1,40.6,38.4,36.1,31.1,24.1,18.7,28
Min,11.2,14.7,19.7,23.9,29.7,33.4,32.6,31.4,27.9,23.4,15.2,11.3,24.4
