"Ciclo escolar",Escuelas,Aulas,Grupos,"Director sin grupo",Docente,"Administrativo y auxiliar",Otros,"Total Personal","Alumnos Masculino","Alumnos Femenino","Total Alumnos",Alumnos/Grupo,Alumnos/Docente,Aulas/Escuelas
2007-2008,433,"1,916","1,839",277,"1,543",565,659,"3,044","22,616","22,299","45,208",25,29,4
2008-2009,459,"2,065","1,898",286,"1,546",469,619,"2,920","21,287","20,485","41,772",22,27,4
2009-2010,452,"2,033","1,883",244,"1,482",465,651,"2,842","20,981","20,190","41,171",22,28,4
2010-2011,458,"2,008","1,937",253,"1,485",494,647,"2,879","21,088","20,407","41,495",21,28,4
2011-2012,449,"1,978","1,965",263,"1,469",513,640,"2,885","20,692","20,533","41,225",21,28,4
2012-2013,448,"1,956","2,009",264,"1,490",516,643,"2,913","20,998","21,043","42,041",21,28,4
2013-2014,443,"1,939","1,987",262,"1,473",507,624,"2,866","20,907","20,533","41,440",21,28,4
2014-2015,429,"1,914","1,582",270,"1,413",580,638,"2,901","20,621","20,225","40,846",26,29,4
2015-2016,420,"1,887","1,538",283,"1,400",566,598,"2,847","20,013","19,737","39,750",26,28,4
2016-2017,420,"1,888","1,546",286,"1,543",555,472,"2,856","20,667","20,488","41,155",27,27,4
2017-2018,427,"1,924","1,575",287,"1,432",985,216,"2,920","20,560","20,248","40,808",26,28,5
2018-2019,430,"1,923","1,557",301,"1,429",567,614,"2,911","20,505","20,465","40,970",26,29,4
2019-2020,428,"2,052","1,601",291,"1,465",559,637,"2,952","20,775","20,609","41,384",26,28,5
2020-2021,430,"1,976","1,558",274,"1,404",541,636,"2,855","18,200","18,029","36,229",23,26,5
2021-2022,423,"2,020","1,522",286,"1,385",573,619,"2,863","17,698","17,882","35,580",23,26,5
2022-2023,412,"1,934","1,493",288,"1,369",580,600,"2,837","18,433","18,395","36,828",25,27,5
2023-2024,410,"1,947","1,482",291,"1,363",619,631,"2,904","18,426","18,156","36,582",25,27,5
2024-2025,411,"1,906","1,485",304,"1,378",619,650,"2,951","17,282","17,295","34,577",23,25,5
