Ciclo escolar,Escuelas,Aulas,Grupos,Director sin grupo,Docente,Administrativo y auxiliar,Otros,Total Personal,Alumnos Masculino,Alumnos Femenino,Total Alumnos,Alumnos/Grupo,Alumnos/Docente,Aulas/Escuelas
2007-2008,137,"1,662","1,546",185,"2,210",1211,859,"4,465","31,983","32,228","64,211",42,29,12
2008-2009,144,"1,830","1,601",218,"2,452",1248,733,"4,651","32,592","32,654","65,246",41,27,13
2009-2010,141,"1,847","1,635",213,"2,508",1264,778,"4,763","33,121","33,225","66,346",41,26,13
2010-2011,145,"1,901","1,705",198,"2,646",1354,769,"4,967","34,721","34,438","69,159",41,26,13
2011-2012,150,"1,942","1,763",208,"2,751",1352,789,"5,100","35,701","35,386","71,087",40,26,13
2012-2013,155,"2,030","1,831",207,"2,817",1341,809,"5,174","36,770","36,507","73,277",40,26,13
2013-2014,157,"2,110","1,903",207,"2,894","1,376",840,"5,317","37,952","37,399","75,351",40,26,13
2014-2015,163,"2,132","1,955",224,"2,930","1,449",837,"5,440","39,050","38,425","77,475",40,26,13
2015-2016,165,"2,223","2,000",172,"2,936","1,555",852,"5,515","39,235","38,599","77,834",39,27,13
2016-2017,170,"2,274","2,042",191,"2,989","1,482",886,"5,548","38,734","38,517","77,251",38,26,13
2017-2018,170,"2,274","2,065",181,"2,973","1,469",924,"5,547","38,786","38,291","77,077",37,26,13
2018-2019,171,"2,370","2,095",170,"2,920","1,496",956,"5,542","39,255","38,694","77,949",37,27,14
2019-2020,174,"2,427","2,129",155,"2,915","1,513","1,069","5,652","39,787","39,621","79,408",37,27,14
2020-2021,178,"2,657","2,139",157,"2,853","1,496","1,063","5,569","39,809","40,036","79,835",37,28,15
2021-2022,177,"2,496","2,150",157,"2,947","1,553","1,077","5,734","39,688","39,645","79,333",37,27,14
2022-2023,176,"2,523","2,153",156,"3,009","1,542","1,100","5,807","37,809","37,688","75,497",35,25,14
2023-2024,177,"2,603","2,169",159,"3,113","1,545","1,128","5,945","37,497","37,130","74,627",34,24,15
2024-2025,180,"2,631","2,199",158,"3,107","1,547","1,143","5,955","37,015","36,753","73,768",34,24,15
