Ciclo escolar                         , Porcentaje
1999 - 2000                               ,69.8
2000 - 2001                               ,67.8
2001 - 2002                               ,73.4
2002 - 2003                               ,72.6
2003 - 2004                               ,75.3
2004 - 2005                               ,75.9
2005 - 2006                              ,76.2
2006 - 2007                               ,75.3
2007 - 2008                               ,78.3
2008 - 2009                              ,81.3
2009 - 2010                               ,79.1
2010 - 2011                               ,78.8
2011 - 2012                               ,80.1
2012 - 2013                            ,82.5
2013 - 2014                               ,84.8
2014 - 2015                               ,84.9
2015 - 2016                              ,84
2016 - 2017                               ,84.4
2017 - 2018                               ,83.8
2018 - 2019                               ,85.1
2019 - 2020                               ,88.5
2020 - 2021                              ,92.5
2021 - 2022                               ,90.3
2022 - 2023                              ,86.8
2023 - 2024,87.3
