"Ciclo escolar                         "," Porcentaje"
"1999 - 2000                               ",49.9
"2000 - 2001                               ",52.2
"2001 - 2002                               ",48.1
"2002 - 2003                               ",47.3
"2003 - 2004                               ",45.9
"2004 - 2005                               ",49.3
"2005 - 2006                              ",47.4
"2006 - 2007                               ",48.7
"2007 - 2008                               ",53.2
"2008 - 2009                              ",54.4
"2009 - 2010                               ",56.4
"2010 - 2011                               ",61.3
"2011 - 2012                               ",57.4
"2012 - 2013                              ",52
"2013 - 2014                               ",52.3
"2014 - 2015                               ",55.6
"2015 - 2016                              ",59.2
"2016 - 2017                               ",58.9
"2017 - 2018                               ",61.8
"2018 - 2019                               ",62.6
"2019 - 2020                               ",61
"2020 - 2021                              ",63
"2021 - 2022                               ",60.1
"2022 - 2023                              ",62.6
