Nombre de la institución,Instituciones,Escuelas,Total alumnos,Licenciatura (Escolarizada),Técnico superior (Escolarizada),Maestría/Doctorado/Especialidad (Escolarizada),Total Escolarizada,Licenciatura (No Escolarizada),Técnico  superior (No Escolarizada),Maestría/Doctorado/Especialidad (No Escolarizada),Total No Escolarizada,Licenciatura (Mixto),Maestría/Doctorado/Especialidad (Mixto),Docentes Hombres,Docentes Mujeres,Total Docentes,
CENTRO CHIHUAHUENSE DE ESTUDIOS DE POSGRADO,1,1,15,0,0,0,0,0,0,0,0,0,15,15,0,1,1
CENTRO CULTURAL UNIVERSITARIO UMBRAL,1,1,32,30,0,2,32,0,0,0,0,0,0,0,11,13,24
CENTRO DE ACTUALIZACIÓN DEL MAGISTERIO DE CD JUÁREZ,1,1,37,37,0,0,37,0,0,0,0,0,0,0,10,8,18
CENTRO UNIVERSITARIO Y DE POSGRADOS DE INVESTIGACIÓN FORENSE,1,1,73,0,0,8,8,32,0,33,65,0,0,0,19,5,24
CENTRO UNIVERSITARIO DE CD JUÁREZ,1,1,878,878,0,0,878,0,0,0,0,0,0,0,33,11,44
CENTRO UNIVERSITARIO PASO DEL NORTE,1,1,610,0,0,0,0,0,0,0,0,610,0,610,24,18,42
COOK INSTITUTO CULINARIO DE EDUCACIÓN SUPERIOR,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EL COLEGIO DE CHIHUAHUA,1,1,29,0,0,7,7,0,0,0,0,0,22,22,5,5,10
ESCUELA NORMAL SUPERIOR PROFR. JOSÉ E. MEDRANO R.,1,1,315,315,0,0,315,0,0,0,0,0,0,0,14,12,26
ESCUELA SUPERIOR DE PSICOLOGÍA UACJ,1,1,266,242,0,24,266,0,0,0,0,0,0,0,13,8,21
INSTITUTO CULTURAL ANDAROEN,1,1,55,55,0,0,55,0,0,0,0,0,0,0,0,5,5
INSTITUTO DE ESTUDIOS SUPERIORES ADELA DE CORNEJO,1,1,52,0,0,0,0,0,0,0,0,52,0,52,22,10,32
INSTITUTO DE ESTUDIOS SUPERIORES FEMAP,1,1,73,73,0,0,73,0,0,0,0,0,0,0,1,10,11
INSTITUTO DE ESTUDIOS SUPERIORES Y FORMACIÓN HUMANA,1,1,56,0,0,0,0,0,0,0,0,0,56,56,6,6,12
INSTITUTO DE FORMACIÓN Y ACTUALIZACIÓN JUDICIAL,1,1,79,0,0,79,79,0,0,0,0,0,0,0,30,11,41
INSTITUTO PEDRO J. MALDONADO,1,1,27,27,0,0,27,0,0,0,0,0,0,0,13,2,15
INSTITUTO POLITÉCNICO DE LA FRONTERA,1,1,268,0,0,0,0,0,0,0,0,268,0,268,29,10,39
INSTITUTO SUPERIOR DE ALTA COCINA,1,1,707,25,0,,25,,,,,682,,682,4,7,11
INSTITUTO SUPERIOR DE CIENCIAS DE CD JUÁREZ,1,1,163,0,0,0,0,0,0,163,163,0,0,0,23,13,36
INSTITUTO SUPERIOR LYMER,1,1,183,0,0,0,0,0,0,0,0,183,0,183,13,7,20
INSTITUTO SUPERIOR SANTA MARÍA,1,1,4,4,0,0,4,0,0,0,0,0,0,0,1,0,1
INSTITUTO TECNOLÓGICO DE CD JUÁREZ,1,2,"6,685","5,954",0,102,"6,056",41,0,0,41,588,0,588,170,132,302
ITESM CAMPUS CD JUÁREZ,1,1,136,136,0,0,136,0,0,0,0,0,0,0,8,7,15
LICEO UNIVERSITARIO,1,1,42,0,0,0,0,0,0,0,0,42,0,42,3,8,11
SINCE COLEGIO UNIVERSITARIO,1,1,30,0,0,0,0,0,0,0,0,19,11,30,5,9,14
UNIVERSIDAD AUTÓNOMA DE CD JUÁREZ UACJ,1,5,"36,769","34,394",0,"1,383","35,777",0,0,69,69,904,19,923,"1,223",872,"2,095"
UNIVERSIDAD AUTÓNOMA DE CHIHUAHUA,1,4,754,621,0,25,646,93,0,15,108,0,0,0,111,64,175
UNIVERSIDAD CULTURAL,1,1,"1,541","1,137",0,404,"1,541",0,0,0,0,0,0,0,35,47,82
UNIVERSIDAD CULTURAL CAMPUS CD JUÁREZ,1,1,8,8,0,0,8,0,0,0,0,0,0,0,20,12,32
UNIVERSIDAD DE DURANGO CAMPUS CD JUÁREZ,1,1,557,532,0,25,557,0,0,0,0,0,0,0,3,3,6
UNIVERSIDAD INTERAMERICANA DEL NORTE,1,1,382,370,0,0,370,0,0,0,0,12,0,12,22,44,66
UNIVERSIDAD MEXICANA DEL NORTE,1,1,65,65,0,0,65,0,0,0,0,0,0,0,17,13,30
UNIVERSIDAD PEDAGÓGICA NACIONAL DE CHIHUAHUA,1,1,603,455,0,148,603,0,0,0,0,0,0,0,24,21,45
UNIVERSIDAD REGIONAL DEL NORTE EXTENSIÓN CD. JUÁREZ,1,1,353,293,0,8,301,0,0,0,0,52,0,52,47,44,91
UNIVERSIDAD TEC MILENIO CIUDAD JUÁREZ,1,1,871,0,0,0,0,0,0,0,0,687,184,871,51,41,92
UNIVERSIDAD TECNOLÓGICA DE CIUDAD JUÁREZ,1,1,"8,787","2,734","6,012",41,"8,787",0,0,0,0,0,0,0,250,207,457
UNIVERSIDAD TECNOLÓGICA PASO DEL NORTE,1,1,874,308,566,0,874,0,0,0,0,0,0,0,21,29,50
UNIVERSIDAD VIZCAYA DE LAS AMÉRICAS CAMPUS CIUDAD JUÁREZ,1,1,"1,816",552,0,0,552,0,0,0,0,"1,264",0,"1,264",4,0,4
TOTALES,38,46,"64,195","49,245","6,578","2,256","58,079",166,-,280,446,"5,363",307,"5,670","2,285","1,715","4,000"
