Clave,Municipio,Población 2010 Total,Masculina 2010,Femenina 2010,Población 2020 Total,Masculina 2020,Femenina 2020
1,Ahumada,"11,457","5,852","5,605","14,635","7,377","7,258"
2,Aldama,"22,302","11,099","11,203","26,047","12,842","13,205"
3,Allende,"8,409","4,258","4,151","8,487","4,256","4,231"
4,Aquiles Serdán,"10,688","6,272","4,416","24,344","13,494","10,850"
5,Ascensión,"23,975","12,207","11,768","26,093","13,231","12,862"
6,Bachíniva,"6,011","3,074","2,937","5,807","2,942","2,865"
7,Balleza,"17,672","8,980","8,692","16,440","8,142","8,298"
8,Batopilas de Manuel Gómez Morín,"14,362","7,297","7,065","11,270","5,597","5,673"
9,Bocoyna,"28,766","14,147","14,619","23,351","10,978","12,373"
10,Buenaventura,"22,378","11,287","11,091","25,146","12,509","12,637"
11,Camargo,"48,748","24,032","24,716","49,499","24,447","25,052"
12,Carichí,"8,795","4,403","4,392","8,113","3,996","4,117"
13,Casas Grandes,"10,587","5,380","5,207","11,815","6,025","5,790"
14,Coronado,"2,284","1,184","1,100","2,034","1,059",975
15,Coyame del Sotol,"1,681",917,764,"1,230",633,597
16,La Cruz,"3,982","2,043","1,939","3,704","1,881","1,823"
17,Cuauhtémoc,"154,639","75,936","78,703","180,638","88,417","92,221"
18,Cusihuiriachi,"5,414","2,812","2,602","5,099","2,660","2,439"
19,Chihuahua,"819,543","399,495","420,048","937,674","457,240","480,434"
20,Chínipas,"8,441","4,448","3,993","6,222","3,156","3,066"
21,Delicias,"137,935","68,013","69,922","150,506","73,827","76,679"
22,Dr. Belisario Domínguez,"2,911","1,478","1,433","2,456","1,244","1,212"
23,Galeana,"5,892","2,941","2,951","6,656","3,299","3,357"
24,Santa Isabel,"3,937","1,979","1,958","3,791","1,864","1,927"
25,Gómez Farías,"8,624","4,295","4,329","7,023","3,465","3,558"
26,Gran Morelos,"3,209","1,655","1,554","2,448","1,251","1,197"
27,Guachochi,"49,689","24,624","25,065","50,180","24,298","25,882"
28,Guadalupe,"6,458","3,243","3,215","4,237","2,133","2,104"
29,Guadalupe y Calvo,"53,499","27,053","26,446","50,514","25,178","25,336"
30,Guazapares,"8,998","4,600","4,398","8,196","4,105","4,091"
31,Guerrero,"39,626","19,912","19,714","35,473","17,702","17,771"
32,Hidalgo del Parral,"107,061","51,883","55,178","116,662","56,247","60,415"
33,Huejotitán,"1,049",522,527,824,411,413
34,Ignacio Zaragoza,"6,934","3,534","3,400","5,196","2,605","2,591"
35,Janos,"10,953","5,727","5,226","11,005","5,760","5,245"
36,Jiménez,"41,265","20,564","20,701","40,859","20,188","20,671"
37,Juárez,"1,332,131","665,691","666,440","1,512,450","756,977","755,473"
38,Julimes,"4,953","2,553","2,400","4,980","2,517","2,463"
39,López,"4,025","2,101","1,924","4,122","2,117","2,005"
40,Madera,"29,611","14,969","14,642","25,144","12,406","12,738"
41,Maguarichi,"1,921",994,927,"1,302",621,681
42,Manuel Benavides,"1,601",871,730,"1,178",626,552
43,Matachí,"3,104","1,578","1,526","2,742","1,414","1,328"
44,Matamoros,"4,499","2,293","2,206","4,314","2,163","2,151"
45,Meoqui,"43,833","21,930","21,903","44,853","22,381","22,472"
46,Morelos,"8,343","4,285","4,058","7,266","3,665","3,601"
47,Moris,"5,312","2,775","2,537","4,447","2,334","2,113"
48,Namiquipa,"22,880","11,630","11,250","22,712","11,390","11,322"
49,Nonoava,"2,849","1,479","1,370","2,757","1,377","1,380"
50,Nuevo Casas Grandes,"59,337","29,058","30,279","65,753","32,139","33,614"
51,Ocampo,"7,546","3,935","3,611","8,127","4,110","4,017"
52,Ojinaga,"26,304","13,290","13,014","24,534","12,193","12,341"
53,Praxedis G. Guerrero,"4,799","2,433","2,366","5,111","2,599","2,512"
54,Riva Palacio,"8,012","4,076","3,936","7,695","3,893","3,802"
55,Rosales,"16,785","8,526","8,259","16,776","8,415","8,361"
56,Rosario,"2,235","1,131","1,104","2,079","1,082",997
57,San Francisco de Borja,"2,290","1,183","1,107","2,197","1,152","1,045"
58,San Francisco de Conchos,"2,983","1,549","1,434","2,696","1,401","1,295"
59,San Francisco del Oro,"4,753","2,399","2,354","5,004","2,484","2,520"
60,Santa Bárbara,"10,427","5,183","5,244","11,582","5,817","5,765"
61,Satevó,"3,662","1,908","1,754","3,414","1,805","1,609"
62,Saucillo,"32,325","16,275","16,050","29,862","14,828","15,034"
63,Temósachic,"6,211","3,216","2,995","5,320","2,666","2,654"
64,El Tule,"1,869",960,909,"1,448",726,722
65,Urique,"20,386","10,342","10,044","17,043","8,358","8,685"
66,Uruachi,"8,200","4,150","4,050","6,512","3,288","3,224"
67,Valle de Zaragoza,"5,105","2,636","2,469","4,775","2,419","2,356"
,Total,"3,406,465","1,692,545","1,713,920","3,741,869","1,853,822","1,888,047"
