Localidad,Población total,Masculina,Femenina
Ciudad Juárez,"1,501,551","750,157","751,394"
Loma Blanca,"3,383","1,666","1,717"
San Isidro (Río Grande),"2,065","1,020","1,045"
Samalayuca,"1,577",774,803
San Agustín,"1,373",733,640
El Millón,607,296,311
Lomas del Poleo (Alfredo V. Bonfil),437,203,234
Jesús Carranza (La Colorada),379,197,182
San Francisco (Tres Jacales),206,106,100
Ninguno [CERESO],156,,
El Chamizal (Ampliación San Isidro),104,46,58
Fraternidad Antorchista,71,35,36
La Unión Siglo XXI [Granjas],49,23,26
Resplandor de Vida,24,,
Ojo de la Casa,17,7,10
Las Arenas [Restaurante],16,8,8
Colonia Luis Rey,16,7,9
San Pedro,14,,
Santa Teresa,11,,
Manuel Elías,11,5,6
La Adelita,10,4,6
El Sufrido,9,,
El Oasis,9,4,5
Rosa Elena Ramírez,8,,
El Tesorito,8,,
Ladrillera Kilómetro 14,8,,
Rancho Casa de Piedra,8,2,6
El Milagro,7,,
Santa Ana,7,,
Aranza (El Torito),7,,
La Mesa,7,,
El Álamo,6,,
El Coyote,6,,
San Sebastián del Oeste [Corrales],6,,
Granja Berenice,6,,
Ninguno,6,,
El Cebollero,6,,
Los Compadres,6,,
El Ranchito,6,,
Los Arenales,6,,
La Guitarra [Rancho],6,,
Rancho Jordán,6,,
Cedros del Valle,6,,
Rancho de la Torre,6,,
Las Moras,5,,
Los Dos Cachorros,5,,
Rancho el Suspiro,5,,
El Pistacho,5,,
Tres Patos,5,,
El Zape,5,,
Village Ranch,5,,
Rancho Gutiérrez Martínez,5,,
Granja el Sayal,5,,
Briones,5,,
Rancho la Mota,5,,
Martín Rojas,5,2,3
Ojo de la Punta,4,,
La Rinconada,4,,
Ninguno,4,,
Valle Dorado Cuarta Etapa (El Dorado),4,,
Rancho las Águilas,4,,
El Andariego,4,,
Dílari [Viveros],4,,
Tío Luis,3,,
Dos Amigos [Restaurante],3,,
Canizales,3,,
Ninguno,3,,
La Caseta,3,,
Rancho Nuevo,3,,
Rancho los Castrosos,3,,
Ninguno,3,,
Los Tres Borrachos,3,,
Realivazquez,3,,
Granja Akira,3,,
Rancho Nacozari,3,,
Sierra Grande,3,,
Félix Niebla,3,,
El Fresno,2,,
Rancho Osuna (El Milagro),2,,
Ojo de Enmedio,2,,
La Pedrera,2,,
Las Arenas,2,,
Granja Lorena (Materiales Villalba),2,,
Juan Cardona Ramírez,2,,
Sierra Grande,2,,
Salvador Carbajal,2,,
Ninguno [Viveros Forestales],2,,
El Ojito,2,,
Rancho la Candelaria,2,,
Rancho Alberto Esparza,2,,
Rancho el Escorpión,2,,
Pozo Loco (El Refugio),2,,
Los Alemanes,2,,
Los Cross,2,,
Los Villarreal (El Diablo),2,,
San José,2,,
Las Ilusiones,2,,
Manuel Lechuga Varela,2,,
Guillermo Esparza,2,,
El Jonuco,1,,
El Coyote,1,,
La Lila,1,,
El Llano,1,,
Los Valentines (La Morales),1,,
El Setenta,1,,
Luz Alba,1,,
La Morita (El Huérfano),1,,
El Pozo,1,,
La Venada,1,,
Dos Hermanos,1,,
El Capy,1,,
El Buen Pastor [Corrales],1,,
Granja Dos Amigos,1,,
Los Indios (El Buen Pastor),1,,
Granja el Pilar,1,,
El Quemado [Corrales],1,,
Rancho los Nogales,1,,
Valle Dorado Quinta Etapa,1,,
Las Palmitas,1,,
El Sufrido,1,,
El Coronel,1,,
El Aurelio,1,,
El Vergelito,1,,
La Lupita,1,,
Ninguno,1,,
Ninguno,1,,
La Rosita,1,,
Rancho Beliz,1,,
Santa Martha,1,,
Ninguno,1,,
Las Parcelas,1,,
Don Pedro,1,,
Rancho de Rafita,1,,
Parador Oasis,1,,
Ampliación San Isidro,1,,
Tres Potrancas,1,,
Ninguno,1,,
Los Arados,1,,
El Supremo,1,,
José Luis Rodríguez Baeza,1,,
La Lupita,1,,
Gloria Dios [José Jáuregui],1,,
