Año,0-14 Total,15-29 Total,30-44 Total,45-64 Total,65+ Total,Total Total,0-14 Hombres,15-29 Hombres,30-44 Hombres,45-64 Hombres,65+ Hombres,Total Hombres,0-14 Mujeres,15-29 Mujeres,30-44 Mujeres,45-64 Mujeres,65+ Mujeres,Total Mujeres
1990,"292,295","278,005","141,365","93,161","30,683","835,509","148,759","141,527","69,461","43,785","13,557","417,089","143,536","136,478","71,721","49,376","17,126","418,420"
1991,"303,499","287,992","150,193","96,437","31,830","869,951","154,513","146,776","74,135","45,348","14,021","434,793","148,986","141,216","76,058","51,009","17,651","434,920"
1992,"315,171","297,577","159,596","100,567","33,030","905,197","160,490","151,814","79,121","46,968","14,512","452,905","154,681","145,763","80,535","53,447","18,765","452,191"
1993,"327,132","306,706","169,555","106,782","34,273","940,936","166,615","156,631","84,621","48,613","15,028","471,308","160,517","150,075","89,160","58,271","20,242","469,265"
1994,"339,230","315,437","180,377","113,216","35,571","977,099","172,819","161,212","90,401","50,296","15,573","489,941","166,411","154,225","97,818","63,776","21,744","487,474"
1995,"351,663","325,084","191,031","117,927","36,772","1,010,596","178,927","166,339","96,223","51,299","16,049","509,554","172,386","158,724","101,101","67,585","23,472","500,268"
1996,"363,652","335,825","204,912","115,056","38,207","1,057,652","185,186","172,387","103,401","54,329","16,708","532,011","178,486","163,438","101,511","72,727","25,702","525,864"
1997,"376,093","346,476","218,963","120,190","39,746","1,101,468","191,606","178,455","111,085","56,908","17,414","555,468","184,487","168,021","107,878","79,582","27,618","546,586"
1998,"388,356","356,581","233,187","125,934","41,362","1,145,404","197,925","184,149","119,020","59,675","18,135","578,924","190,431","172,432","114,167","85,483","28,901","561,414"
1999,"400,499","366,020","248,195","131,658","43,063","1,189,435","204,165","189,401","127,111","62,665","18,934","602,276","196,334","176,619","121,084","91,780","30,676","618,169"
2000,"413,283","375,445","262,778","138,441","45,003","1,234,916","210,718","194,419","135,041","65,352","19,521","626,010","201,065","181,026","127,737","96,684","33,024","609,536"
2001,"420,153","374,849","272,189","143,456","46,370","1,257,017","214,205","193,572","139,994","68,628","20,387","636,786","205,948","181,277","132,195","74,828","25,983","620,231"
2002,"426,775","374,552","281,608","148,761","47,764","1,279,460","217,559","193,029","144,909","71,348","21,000","647,845","209,216","181,523","136,699","77,413","26,764","631,615"
2003,"432,955","374,238","290,916","154,348","49,164","1,301,621","220,621","192,477","149,685","74,203","21,603","658,589","212,334","181,761","141,231","80,145","27,561","643,032"
2004,"438,703","373,649","299,921","160,252","50,634","1,323,159","223,399","191,731","154,202","77,211","22,240","668,783","215,304","181,918","145,719","83,041","28,394","654,376"
2005,"443,338","373,673","307,901","166,710","51,886","1,343,508","225,581","191,039","157,974","80,593","22,814","678,001","217,757","182,634","149,927","86,117","29,072","665,507"
2006,"441,521","370,945","310,505","172,217","52,642","1,347,830","224,470","188,694","158,437","83,527","23,189","678,317","217,051","182,251","152,068","88,690","29,453","669,513"
2007,"438,759","368,280","311,792","177,456","53,284","1,349,571","222,792","186,494","158,112","86,292","23,503","677,193","215,967","181,786","153,680","91,164","29,781","672,378"
2008,"435,967","366,251","312,660","182,836","53,906","1,351,620","221,231","184,920","157,712","89,172","23,806","676,841","214,736","181,331","154,948","93,664","30,100","674,779"
2009,"433,088","364,190","313,120","188,264","54,517","1,353,179","219,799","183,619","157,293","92,119","24,115","676,945","213,289","180,571","155,827","96,145","30,402","676,234"
