Año,EUM_Hombres,EUM_Mujeres,EUM_Total,Chih_Hombres,Chih_Mujeres,Chih_Total
2020,72.4,78.1,75.2,72.4,78.6,75.4
2021,72.5,78.2,75.4,72.5,78.7,75.5
2022,72.6,78.4,75.5,72.7,78.9,75.7
2023,72.8,78.5,75.6,72.8,79,75.8
2024,72.9,78.7,75.8,72.9,79.1,76
2025,73.1,78.8,75.9,73.1,79.3,76.1
2026,73.2,79,76.1,73.2,79.4,76.2
2027,73.3,79.1,76.2,73.4,79.6,76.4
2028,73.5,79.3,76.4,73.5,79.7,76.5
2029,73.6,79.5,76.5,73.7,79.9,76.7
2030,73.8,79.6,76.7,73.8,80,76.9
2031,74,79.8,76.9,74,80.2,77
2032,74.1,79.9,77,74.1,80.3,77.2
2033,74.3,80.1,77.2,74.3,80.5,77.3
2034,74.4,80.2,77.3,74.4,80.6,77.5
2035,74.6,80.4,77.5,74.6,80.8,77.6
2036,74.7,80.6,77.6,74.7,80.9,77.8
2037,74.9,80.7,77.8,74.9,81,77.9
2038,75,80.9,77.9,75,81.2,78
2039,75.1,81,78.1,75.1,81.3,78.2
2040,75.3,81.2,78.2,75.3,81.5,78.3
