Causa CIE-10,Defunciones 2013,Porcentaje 2013,Defunciones 2014,Porcentaje 2014,Defunciones 2015,Porcentaje 2015,Defunciones 2016,Porcentaje 2016,Causa CIE-10,Defunciones 2017,Porcentaje 2017,Defunciones 2018,Porcentaje 2018,Defunciones 2019,Porcentaje 2019,Causa CIE-10,Defunciones 2020,Porcentaje 2020,Defunciones 2021,Porcentaje 2021,Defunciones 2022,Porcentaje 2022,Defunciones 2023,Porcentaje 2023,Causa CIE-10,Defunciones 2024,Porcentaje 2024
Enfermedades del corazón ,"1,172",19.7,"1,085",19.5,"1,397",20.2,"1,248",19.5,Enfermedades del corazón ,"1,271",19.2,"1,586",17.4,"1,266",16.3,COVID-19,"3,838",28.7,745,8,561,6,25,0.3,Enfermedades del corazón ,"1,716",19.2
Diabetes mellitus,899,15.1,853,15.3,1036,15,918,14.3,Diabetes mellitus,911,13.8,"1,143",12.2,"1,025",13.2,Enfermedades del corazón ,"1,587",11.9,"1,530",16.5,"1,673",18,"1,710",19.7,Diabetes mellitus,"1,145",12.8
Tumores malignos,742,12.5,701,12.6,882,12.7,781,12.2,Tumores malignos,850,12.8,966,10.7,837,10.8,Diabetes mellitus,"1,504",11.2,1237,13.3,"1,265",13.6,"1,049",12.1,Tumores malignos,"1,026",11.5
Accidentes,346,5.8,344,6.2,371,5.4,381,5.9,Accidentes,387,5.8,866,9.7,749,9.7,Agresiones  (homicidios),"1,068",8,1077,11.6,843,9.1,962,11.1,Agresiones  (homicidios),911,10.2
Agresiones  (homicidios),341,5.7,292,5.2,249,3.6,369,5.8,Agresiones  (homicidios),471,7.1,768,8.1,719,9.3,Tumores malignos,837,6.3,948,10.2,910,9.8,940,10.8,Enfermedades del hígado ,437,4.9
Enfermedades del hígado ,294,5,274,4.9,362,5.2,368,5.7,Enfermedades del hígado ,346,5.2,505,5.6,386,5,Neumonías e influenza,763,5.7,259,2.8,306,3.3,318,3.7,Enfermedades cerebrovasculares,364,4.1
Enfermedades cerebrovasculares,280,4.7,257,4.6,326,4.7,283,4.4,Enfermedades cerebrovasculares,300,4.5,417,4.7,312,4,Enfermedades del hígado ,414,3.1,464,5,456,4.9,447,5.1,Neumonías e influenza,360,4
Neumonías e influenza,187,3.1,155,2.8,154,2.2,138,2.2,Neumonías e influenza,181,2.7,313,3.5,244,3.1,Accidentes,412,3.1,347,3.7,354,3.8,321,3.7,Accidentes,333,3.7
Ciertas afecciones  originadas  en el período perinatal,133,2.2,140,2.5,171,2.5,128,2,Ciertas afecciones  originadas  en el período perinatal,142,2.1,167,2,141,1.8,Enfermedades cerebrovasculares,327,2.4,353,3.8,353,3.8,379,4.4,Ciertas afecciones  originadas  en el período perinatal,159,1.8
Resto,"1,545",26,"1,476",26.5,"1,970",28.5,"1,798",28,Resto,"1,763",26.6,"2,398",26.6,"2,071",26.7,Resto,"2,641",19.7,"2,340",25.2,"2,592",27.8,"2,548",29.3,Resto,"2,504",28
Total,"5,939",100,"5,577",100,"6,918",100,"6,412",100,Total,"6,622",100,"9,129",100,"7,750",100,Total,"13,391",100,"9,300",100,"9,313",100,"8,699",100,Total,"8,955",100
