Causa CIE-10,Defunciones 2013,Porcentaje 2013,Defunciones 2014,Porcentaje 2014,Defunciones 2015,Porcentaje 2015,Defunciones 2016,Porcentaje 2016,Causa CIE-10,Defunciones 2017,Porcentaje 2017,Defunciones 2018,Porcentaje 2018,Defunciones 2019,Porcentaje 2019,Defunciones 2020,Porcentaje 2020,Causa CIE-10,Defunciones 2021,Porcentaje 2021,Defunciones 2022,Porcentaje 2022,Defunciones 2023,Porcentaje 2023,Defunciones 2024,Porcentaje 2024
Ciertas afecciones  originadas  en el período perinatal,133,43.6,140,53.2,171,53.6,128,49.8,Ciertas afecciones  originadas  en el período perinatal,142,51.3,167,50.9,140,49.3,132,52.8,Ciertas afecciones  originadas  en el período perinatal,115,51.8,136,53.8,152,58.9,159,64.6
"Malformaciones congénitas,  deformidades y anomalías  cromosómicas",56,18.4,60,22.8,63,19.7,53,20.6,"Malformaciones congénitas,  deformidades y anomalías  cromosómicas",59,21.3,57,17.4,63,22.2,57,22.8,"Malformaciones congénitas,  deformidades y anomalías  cromosómicas",50,22.5,47,18.6,54,20.9,41,16.7
Accidentes,38,12.5,25,9.5,30,9.4,30,11.7,Accidentes,24,8.7,52,15.9,43,15.1,33,13.2,Accidentes,31,14,30,11.9,24,9.3,21,8.5
Neumonía e influenza,34,11.1,7,2.7,10,3.1,9,3.5,Neumonía e influenza,16,5.8,11,3.4,8,2.8,4,1.6,Neumonía e influenza,1,0.5,10,4,4,1.6,3,1.2
Septicemia,8,2.6,3,1.1,8,2.5,5,1.9,Septicemia,3,1.1,8,2.4,6,2.1,5,2,Septicemia,2,0.9,9,3.6,7,2.7,4,1.6
Desnutrición y otras deficiencias  nutricionales,2,0.7,0,0,0,0,0,0,Desnutrición y otras deficiencias  nutricionales,3,1.1,2,0.6,1,0.4,0,0,Desnutrición y otras deficiencias  nutricionales,0,0,0,0,1,0.4,0,0
Enfermedad  por virus de la inmunodeficiencia humana,2,0.7,0,0,1,0.3,0,0,Enfermedad  por virus de la inmunodeficiencia humana,0,0,0,0,0,0,0,0,Enfermedad  por virus de la inmunodeficiencia humana,0,0,0,0,0,0,0,0
Enfermedades del corazón,2,0.7,0,0,5,1.6,3,1.2,Enfermedades del corazón,1,0.4,2,0.6,2,0.7,2,0.8,Enfermedades del corazón,0,0,3,1.2,0,0,1,0.4
Resto,30,9.8,28,10.6,31,9.7,29,11.3,COVID-19,,0,,0,,0,3,1.2,COVID-19,0,0,0,0,0,0,0,0
Total,305,100,263,100,319,100,257,100,Resto,29,10.5,29,8.8,21,7.4,14,5.6,Resto,23,10.4,18,7.1,16,6.2,17,6.9
,,,,,,,,,Total,277,100,328,100,284,100,250,100,Total,222,100,253,100,258,100,246,100
