Causa CIE-10,Defunciones 2013 ,Porcentaje 2013,Tasa 2013,Defunciones 2014,Porcentaje 2014,Tasa 2014,Defunciones 2015,Porcentaje 2015,Tasa 2015,Defunciones 2016,Porcentaje 2016,Tasa 2016,Defunciones 2017,Porcentaje 2017,Tasa 2017,Causa CIE-10,Defunciones 2018,Porcentaje 2018,Tasa 2018,Defunciones 2019,Porcentaje 2019,Tasa 2019,Defunciones 2020,Porcentaje 2020,Tasa 2020,Defunciones 2021,Porcentaje 2021,Tasa 2021,Defunciones 2022,Porcentaje 2022,Tasa 2022,Defunciones 2023,Porcentaje 2023,Tasa 2023
Tumores malignos  ,20,35.7,7.6,6,11.1,2.3,6,14,2.1,9,19.6,3.2,4,6.5,1.4,Tumores malignos,7,8,2.5,6,9.2,2.1,7,9.2,2.6,18,30.5,6.6,5,5.9,1.9,10,14.9,3.8
Accidentes  ,11,19.6,4.2,12,22.2,4.6,8,18.6,2.8,15,32.6,5.3,15,24.2,5.3,Accidentes,23,26.4,8.1,14,21.5,4.9,16,21.1,6,5,8.5,1.8,17,20,6.5,6,9,2.3
Agresiones (homicidios)  ,4,7.1,1.5,6,11.1,2.3,3,7,1.1,0,0,0,6,9.7,2.1,Agresiones (Homicidios),12,13.8,4.2,10,15.4,3.5,7,9.2,2.6,5,8.5,1.8,10,11.8,3.8,3,4.5,1.2
Lesiones autoinfligidas intencionalmente (suicidios)  ,4,7.1,1.5,0,0,0,4,9.3,1.4,0,0,0,1,1.6,0.4,Lesiones autoinfligidas intencionalmente (suicidios),0,0,0,2,3.1,0.7,2,2.6,0.7,1,1.7,0.4,3,3.5,1.1,3,4.5,1.2
Parálisis cerebral y otros síndromes paralíticos  ,4,7.1,1.5,5,9.3,1.9,6,14,2.1,6,13,2.1,3,4.8,1.1,Parálisis cerebral y otros síndromes paralíticos,6,6.9,2.1,4,6.2,1.4,5,6.6,1.9,0,0,0,1,1.2,0.4,2,3,0.8
Enfermedades del corazón  ,2,3.6,0.8,1,1.9,0.4,0,0,0,3,6.5,1.1,4,6.5,1.4,Enfermedades del corazón,3,3.4,1.1,0,0,0,0,0,0,3,5.1,1.1,2,2.4,0.8,2,3,0.8
"Malformaciones congénitas, deformidades y anomalías cromosómicas  ",2,3.6,0.8,7,13,2.7,4,9.3,1.4,2,4.3,0.7,9,14.5,3.2,"Malformaciones congénitas, deformidades y anomalías cromosómicas",7,8,2.5,6,9.2,2.1,2,2.6,0.7,2,3.4,0.7,5,5.9,1.9,5,7.5,1.9
Resto  ,9,16.1,3.4,17,31.5,6.5,12,27.9,4.2,11,23.9,3.9,20,32.3,7,COVID-19,,,,,0,,1,1.3,0.4,1,1.7,0.4,1,1.2,0.4,0,0,0
Total,56,100,21.3,54,100,20.5,43,100,15.1,46,100,16.2,62,100,21.8,Resto,29,33.3,10.2,23,35.4,8.1,36,47.4,13.4,24,40.7,8.8,41,48.2,15.6,36,53.7,13.8
,,,,,,,,,,,,,,,,Total,87,100,30.6,65,100,22.9,76,100,28.3,59,100,21.7,85,100,32.3,67,100,25.7
