Causa CIE-10,Defunciones 2013 ,Porcentaje 2013,Tasa 2013,Defunciones 2014,Porcentaje 2014,Tasa 2014,Defunciones 2015,Porcentaje 2015,Tasa 2015,Defunciones 2016,Porcentaje 2016,Tasa 2016,Defunciones 2017,Porcentaje 2017,Tasa 2017,Defunciones 2018,Porcentaje 2018,Tasa 2018,Causa CIE-10,Defunciones 2019,Porcentaje 2019,Tasa 2019,Defunciones 2020,Porcentaje 2020,Tasa 2020,Defunciones 2021,Porcentaje 2021,Tasa 2021,Defunciones 2022,Porcentaje 2022,Tasa 2022,Defunciones 2023,Porcentaje 2023,Tasa 2023
Enfermedades del corazón  ,402,14.6,49.2,380,14.5,46.5,495,15.9,54,437,14.5,47.7,453,14,49.4,636,13.5,69.4,COVID-19,,,,2306,30.9,221.3,433,8.5,41.4,228,4.9,21.3,5,0.1,0.5
Tumores malignos  ,396,14.4,48.5,367,14,45,457,14.6,49.8,404,13.4,44.1,450,13.9,49.1,484,10.3,52.8,Enfermedades del corazÃ³n,474,11.7,51.7,584,7.8,56,585,11.5,56,576,12.3,53.7,662,14.4,61.4
Diabetes mellitus  ,368,13.4,45.1,353,13.5,43.2,449,14.4,49,370,12.3,40.3,374,11.6,40.8,479,10.2,52.2,Tumores malignos,451,11.1,49.2,435,5.8,41.7,501,9.8,48,475,10.1,44.3,481,10.5,44.6
Agresiones (homicidios)  ,324,11.8,39.7,276,10.6,33.8,239,7.7,26.1,360,11.9,39.3,445,13.8,48.5,742,15.8,80.9,Diabetes mellitus,421,10.4,45.9,685,9.2,65.7,539,10.6,51.6,527,11.2,49.1,455,9.9,42.2
Accidentes  ,230,8.4,28.2,241,9.2,29.5,258,8.3,28.1,272,9,29.7,264,8.2,28.8,678,14.4,73.9,Agresiones  (homicidios),700,17.3,76.3,1046,14,100.4,1057,20.7,101.2,820,17.5,76.4,945,20.6,87.6
Enfermedades del hígado  ,220,8,26.9,210,8,25.7,262,8.4,28.6,275,9.1,30,265,8.2,28.9,369,7.9,40.2,Accidentes,601,14.8,65.5,296,4,28.4,231,4.5,22.1,239,5.1,22.3,212,4.6,19.7
Enfermedades cerebrovasculares  ,86,3.1,10.5,81,3.1,9.9,109,3.5,11.9,75,2.5,8.2,110,3.4,12,168,3.6,18.3,Enfermedades del hÃ­gado,273,6.7,29.8,319,4.3,30.6,336,6.6,32.2,327,7,30.5,307,6.7,28.5
Enfermedad por virus de la inmunodeficiencia humana  ,56,2,6.9,59,2.3,7.2,79,2.5,8.6,65,2.2,7.1,61,1.9,6.7,68,1.4,7.4,Enfermedades cerebrovasculares,105,2.6,11.5,124,1.7,11.9,131,2.6,12.5,152,3.2,14.2,151,3.3,14
Neumonía e influenza  ,54,2,6.6,54,2.1,6.6,48,1.5,5.2,43,1.4,4.7,59,1.8,6.4,96,2,10.5,Enfermedad  por virus de la inmunodeficiencia humana,77,1.9,8.4,45,0.6,4.3,59,1.2,5.6,86,1.8,8,97,2.1,9
Lesiones autoinfligidas intencionalmente (suicidios)  ,51,1.9,6.2,46,1.8,5.6,60,1.9,6.5,84,2.8,9.2,62,1.9,6.8,49,1,5.3,NeumonÃ­a e influenza,78,1.9,8.5,410,5.5,39.3,125,2.4,12,102,2.2,9.5,124,2.7,11.5
Insuficiencia renal  ,50,1.8,6.1,54,2.1,6.6,65,2.1,7.1,47,1.6,5.1,66,2,7.2,74,1.6,8.1,Lesiones autoinfligidas intencionalmente (suicidios),34,0.8,3.7,72,1,6.9,97,1.9,9.3,97,2.1,9,113,2.5,10.5
Hepatitis viral  ,30,1.1,3.7,23,0.9,2.8,23,0.7,2.5,12,0.4,1.3,20,0.6,2.2,33,0.7,3.6,Insuficiencia  renal,87,2.1,9.5,63,0.8,6,46,0.9,4.4,56,1.2,5.2,51,1.1,4.7
Septicemia  ,27,1,3.3,11,0.4,1.3,12,0.4,1.3,20,0.7,2.2,27,0.8,2.9,35,0.7,3.8,Hepatitis viral,31,0.8,3.4,23,0.3,2.2,16,0.3,1.5,17,0.4,1.6,17,0.4,1.6
"Enfermedades pulmonares obstructivas crónicas, excepto bronquitis, bronquiectasia  ",23,0.8,2.8,23,0.9,2.8,21,0.7,2.3,14,0.5,1.5,31,1,3.4,30,0.6,3.3,Septicemia,34,0.8,3.7,54,0.7,5.2,38,0.7,3.6,45,1,4.2,33,0.7,3.1
"Malformaciones congénitas, deformidades y anomalías cromosómicas  ",16,0.6,2,13,0.5,1.6,12,0.4,1.3,17,0.6,1.9,15,0.5,1.6,29,0.6,3.2,"Enfermedades pulmonares  obstructivas  crÃ³nicas,  excepto
bronquitis,  bronquiectasia",18,0.4,2,27,0.4,2.6,17,0.3,1.6,18,0.4,1.7,24,0.5,2.2
Desnutrición y otras deficiencias nutricionales  ,16,0.6,2,9,0.3,1.1,17,0.5,1.9,14,0.5,1.5,9,0.3,1,15,0.3,1.6,"Malformaciones congÃ©nitas,  deformidades y anomalÃ­as
cromosÃ³micas",19,0.5,2.1,13,0.2,1.2,11,0.2,1.1,18,0.4,1.7,12,0.3,1.1
Síndrome de dependencia del alcohol  ,14,0.5,1.7,11,0.4,1.3,17,0.5,1.9,19,0.6,2.1,35,1.1,3.8,47,1,5.1,DesnutriciÃ³n y otras deficiencias  nutricionales,13,0.3,1.4,11,0.1,1.1,12,0.2,1.1,8,0.2,0.7,10,0.2,0.9
Obesidad  ,14,0.5,1.7,12,0.5,1.5,27,0.9,2.9,16,0.5,1.7,19,0.6,2.1,23,0.5,2.5,SÃ­ndrome de dependencia del alcohol,43,1.1,4.7,50,0.7,4.8,37,0.7,3.5,48,1,4.5,43,0.9,4
Anemias  ,13,0.5,1.6,8,0.3,1,9,0.3,1,15,0.5,1.6,9,0.3,1,13,0.3,1.4,Obesidad,19,0.5,2.1,31,0.4,3,10,0.2,1,30,0.6,2.8,26,0.6,2.4
Tuberculosis pulmonar  ,12,0.4,1.5,12,0.5,1.5,13,0.4,1.4,10,0.3,1.1,18,0.6,2,6,0.1,0.7,Anemias,10,0.2,1.1,20,0.3,1.9,17,0.3,1.6,23,0.5,2.1,18,0.4,1.7
Pancreatitis aguda y otras enfermedades del páncreas  ,11,0.4,1.3,11,0.4,1.3,23,0.7,2.5,8,0.3,0.9,13,0.4,1.4,17,0.4,1.9,Tuberculosis pulmonar,14,0.3,1.5,11,0.1,1.1,15,0.3,1.4,32,0.7,3,18,0.4,1.7
Resto  ,334,12.2,40.9,362,13.8,44.3,426,13.6,46.5,440,14.6,48,423,13.1,46.1,605,12.9,66,Pancreatitis  aguda y otras enfermedades del pÃ¡ncreas,11,0.3,1.2,14,0.2,1.3,20,0.4,1.9,14,0.3,1.3,18,0.4,1.7
Total,"2,747",100,336.5,"2,616",100,320.4,"3,121",100,340.3,"3,017",100,329,"3,228",100,352,"4,696",100,512.1,Resto,536,13.2,58.5,819,11,78.6,773,15.1,74,751,16,70,773,16.8,71.7
,,,,,,,,,,,,,,,,,,,Total,"4,049",100,441.5,"7,458",100,715.6,"5,106",100,488.7,"4,689",100,437,"4,595",100,426
