Causa CIE-10,Defunciones 2013 ,Porcentaje 2013,Tasa 2013,Defunciones 2014,Porcentaje 2014,Tasa 2014,Defunciones 2015,Porcentaje 2015,Tasa 2015,Causa CIE-10,Porcentaje 2016,Tasa 2016,Defunciones 2017,Porcentaje 2017,Tasa 2017,Causa CIE-10,Defunciones 2018,Porcentaje 2018,Tasa 2018,Causa CIE-10,Defunciones 2019,Porcentaje 2019,Tasa 2019,Defunciones 2020,Porcentaje 2020,Tasa 2020,Defunciones 2021,Porcentaje2021,Tasa 2021,Causa CIE-10,Defunciones 2022,Porcentaje 2022,Tasa 2022,Defunciones 2023,Porcentaje 2023,Tasa 2023
Enfermedades del corazón,764,27.4,145.6,700,27,133.4,895,26.5,138,Enfermedades del corazón,803,26.3,123.8,813,27,125.4,945,23.8,145.7,COVID-2019,,0,,1525,27.4,178.5,311,8,32.9,COVID-2019,346,8,36,20,0.5,1.8
Diabetes mellitus,530,19,101,499,19.3,95.1,607,18,93.6,Diabetes mellitus,548,18,84.5,537,17.8,82.8,664,16.7,102.4,Enfermedades del coraz�n,790,23.9,121.8,1001,18,117.2,941,24.3,99.7,Enfermedades del coraz�n,1097,25.5,114.2,1045,28,96
Tumores malignos,321,11.5,61.2,322,12.4,61.4,414,12.2,63.8,Tumores malignos,362,11.9,55.8,392,13,60.5,470,11.8,72.5,Diabetes mellitus,603,18.2,93,819,14.7,95.9,698,18,73.9,Diabetes mellitus,742,17.2,77.2,594,15.9,54.6
Enfermedades cerebrovasculares,193,6.9,36.8,173,6.7,33,217,6.4,33.5,Enfermedades cerebrovasculares,208,6.8,32.1,186,6.2,28.7,244,6.1,37.6,Tumores malignos,376,11.4,58,394,7.1,46.1,427,11,45.2,Tumores malignos,432,10,45,440,11.8,40.4
Neumonía e influenza,96,3.4,18.3,87,3.4,16.6,95,2.8,14.7,Neumonía e influenza,79,2.6,12.2,95,3.2,14.7,195,4.9,30.1,Enfermedades cerebrovasculares,204,6.2,31.5,200,3.6,23.4,220,5.7,23.3,Enfermedades cerebrovasculares,200,4.6,20.8,223,6,20.5
"Enfermedades pulmonares  obstructivas  crónicas,  excepto bronquitis,
bronquiectasia.",90,3.2,17.1,104,4,19.8,114,3.4,17.6,"Enfermedades pulmonares  obstructivas  crónicas,  excepto bronquitis,
bronquiectasia.",114,3.7,17.6,102,3.4,15.7,138,3.5,21.3,Neumonía e influenza,154,4.7,23.8,345,6.2,40.4,132,3.4,14,Neumonía e influenza,195,4.5,20.3,187,5,17.2
Enfermedades del hígado,73,2.6,13.9,62,2.4,11.8,100,3,15.4,Enfermedades del hígado,90,2.9,13.9,81,2.7,12.5,136,3.4,21,"Enfermedades pulmonares  obstructivas  crónicas,  excepto bronquitis,
bronquiectasia.",100,3,15.4,101,1.8,11.8,57,1.5,6,"Enfermedades pulmonares  obstructivas  crónicas,  excepto bronquitis,
bronquiectasia.",81,1.9,8.4,82,2.2,7.5
Insuficiencia  renal,69,2.5,13.1,64,2.5,12.2,88,2.6,13.6,Insuficiencia  renal,69,2.3,10.6,92,3.1,14.2,95,2.4,14.7,Enfermedades del hígado,113,3.4,17.4,94,1.7,11,125,3.2,13.2,Enfermedades del hígado,131,3,13.6,139,3.7,12.8
Accidentes,54,1.9,10.3,48,1.9,9.1,55,1.6,8.5,Accidentes,48,1.6,7.4,73,2.4,11.3,97,2.4,15,Insuficiencia  renal,75,2.3,11.6,67,1.2,7.8,50,1.3,5.3,Insuficiencia  renal,86,2,9,83,2.2,7.6
"Bronquitis  crónica, enfisema y asma",31,1.1,5.9,25,1,4.8,40,1.2,6.2,"Bronquitis  crónica, enfisema y asma",29,1,4.5,22,0.7,3.4,52,1.3,8,Accidentes,80,2.4,12.3,53,1,6.2,67,1.7,7.1,Accidentes,64,1.5,6.7,63,1.7,5.8
