Grupo,2019,2020,2021,2022,2023,2024
Atención y examen del postparto,"4,319","3,023","2,850","3,060","2,792","2,664"
Insuficiencia renal,"1,473","2,665","2,443","4,561",234,271
Causas obstétricas directas (solo morbilidad),"1,966","1,468","1,484","1,453","1,523","1,966"
COVID-19,0,1175,357,275,9,3
"Traumatismos, envenenamientos y algunas otras causas externas","1,512",988,"1,348","1,620","1,803","1,769"
Tumores malignos,367,783,697,682,973,"1,487"
Neumonía e influenza,778,624,271,472,515,413
Aborto (solo morbilidad),806,517,593,615,687,670
Ciertas afecciones originadas en el período perinatal,428,355,398,456,507,618
Otras,"6,604","2,980","4,170","5,751","6,771","6,898"
Total,"18,253","14,578","14,611","18,945","15,814","16,759"
