"Año, Mes",Total,Atropello,Choque,Volcadura,Otros incidentes viales,"Año, Mes",Total,Atropello,Choque,Volcadura,Otros incidentes viales
2008/01,703,42,644,7,10,2016/10,504,50,436,5,13
2008/02,860,43,794,11,12,2016/11,494,37,441,7,9
2008/03,806,45,747,2,12,2016/12,481,33,415,8,25
2008/04,837,56,753,14,14,Total 2016,"5,937",438,"5,308",58,133
2008/05,872,32,828,6,6,2017/01,443,35,392,5,11
2008/06,807,45,741,7,14,2017/02,443,36,387,6,14
2008/07,722,44,663,5,10,2017/03,422,33,374,3,12
2008/08,680,38,617,5,20,2017/04,445,25,401,5,14
2008/09,682,45,615,6,16,2017/05,515,39,459,3,14
2008/10,674,51,599,8,16,2017/06,470,29,425,0,16
2008/11,605,31,564,4,6,2017/07,414,26,371,6,11
2008/12,608,38,554,10,6,2017/08,456,39,394,6,17
Total 2008,"8,856",510,"8,119",85,142,2017/09,428,45,368,1,14
2009/01,587,37,537,5,8,2017/10,460,34,410,5,11
2009/02,585,32,535,6,12,2017/11,496,42,443,3,8
2009/03,636,33,588,5,10,2017/12,488,47,428,6,7
2009/04,585,35,533,4,13,Total 2017,"5,480",430,"4,852",49,149
2009/05,639,25,596,9,9,2018/01,395,29,356,6,4
2009/06,533,23,488,5,17,2018/02,434,41,380,5,8
2009/07,552,34,496,3,19,2018/03,495,39,437,8,11
2009/08,508,34,455,7,12,2018/04,466,38,410,5,13
2009/09,404,22,378,1,3,2018/05,487,43,425,8,11
2009/10,480,27,446,4,3,2018/06,548,56,478,7,7
2009/11,475,26,435,8,6,2018/07,433,18,397,4,14
2009/12,477,26,447,1,3,2018/08,417,34,367,4,12
Total 2009,"6,461",354,"5,934",58,115,2018/09,477,33,424,3,17
2010/01,371,22,336,6,7,2018/10,541,38,477,7,19
2010/02,402,19,372,5,6,2018/11,603,45,530,0,28
2010/03,448,27,413,2,6,2018/12,603,45,532,9,17
2010/04,412,22,378,5,7,Total 2018,"5,899",459,"5,213",66,161
2010/05,449,23,420,2,4,2019/01,499,35,444,8,12
2010/06,459,23,420,5,11,2019/02,540,39,480,8,13
2010/07,396,26,350,5,15,2019/03,599,33,541,10,15
2010/08,402,17,379,3,3,2019/04,620,38,560,7,15
2010/09,320,13,305,1,1,2019/05,623,41,552,5,25
2010/10,430,19,400,4,7,2019/06,685,40,600,11,34
2010/11,484,18,452,6,8,2019/07,655,46,583,6,20
2010/12,484,17,458,3,6,2019/08,782,39,705,10,28
Total 2010,"5,057",246,"4,683",47,81,2019/09,670,49,592,10,19
2011/01,401,23,371,5,2,2019/10,617,51,532,10,23
2011/02,375,21,350,3,1,2019/11,566,33,508,4,21
2011/03,416,29,375,8,4,2019/12,630,49,551,5,25
2011/04,360,27,328,4,1,Total 2019,"7,486",493,"6,648",94,250
2011/05,425,27,385,3,10,2020/01,561,37,509,4,11
2011/06,384,23,352,8,1,2020/02,591,33,537,4,17
2011/07,340,27,300,3,10,2020/03,539,32,478,9,20
2011/08,339,20,305,5,9,2020/04,381,21,340,3,17
2011/09,369,26,332,5,6,2020/05,451,15,423,8,5
2011/10,412,21,383,0,8,2020/06,496,29,442,5,20
2011/11,343,18,316,5,4,2020/07,663,39,587,9,28
2011/12,312,23,282,3,4,2020/08,596,25,543,5,23
Total 2011,"4,476",285,"4,079",52,60,2020/09,534,25,475,4,30
2012/01,348,30,308,3,7,2020/10,527,38,466,7,16
2012/02,400,30,361,3,6,2020/11,450,26,404,6,14
2012/03,411,23,373,4,11,2020/12,555,24,505,7,19
2012/04,395,27,356,4,8,Total 2020,"6,344",344,"5,709",71,220
2012/05,439,22,402,7,8,2021/01,569,34,507,13,15
2012/06,477,20,448,2,7,2021/02,541,33,482,7,19
2012/07,434,28,392,6,8,2021/03,646,22,595,6,23
2012/08,452,27,408,3,14,2021/04,520,19,489,1,11
2012/09,432,23,403,2,4,2021/05,548,26,507,1,14
2012/10,480,31,436,3,10,2021/06,540,16,506,5,13
2012/11,516,36,464,8,8,2021/07,554,22,511,3,18
2012/12,500,35,451,7,7,2021/08,545,25,497,7,16
Total 2012,"5,284",332,"4,802",52,98,2021/09,530,18,502,1,9
2013/01,493,30,445,7,11,2021/10,450,19,417,4,10
2013/02,535,30,486,7,12,2021/11,419,28,379,2,10
2013/03,530,23,478,6,23,2021/12,345,18,321,2,4
2013/04,550,38,497,10,5,Total 2021,"6,207",280,"5,713",52,162
2013/05,486,30,438,1,17,2022/01,248,15,225,1,7
2013/06,453,23,416,6,8,2022/02,308,18,279,1,10
2013/07,423,25,384,7,7,2022/03,331,10,315,1,5
2013/08,473,32,427,5,9,2022/04,321,9,303,1,8
2013/09,424,29,379,4,12,2022/05,342,11,325,3,3
2013/10,448,29,405,3,11,2022/06,345,16,317,3,9
2013/11,440,31,391,9,9,2022/07,293,12,273,4,4
2013/12,438,27,393,3,15,2022/08,312,18,279,2,13
Total 2013,"5,693",347,"5,139",68,139,2022/09,340,23,303,2,12
2014/01,378,32,334,8,4,2022/10,340,21,310,1,8
2014/02,351,27,311,8,5,2022/11,359,25,325,3,6
2014/03,456,33,412,2,9,2022/12,350,12,328,4,6
2014/04,409,24,363,7,15,Total 2022,"3,889",190,"3,582",26,91
2014/05,443,22,405,6,10,2023/01,467,23,438,2,4
2014/06,421,19,388,4,10,2023/02,531,28,490,1,12
2014/07,417,26,376,7,8,2023/03,557,33,515,1,8
2014/08,432,23,396,3,10,2023/04,503,23,467,2,11
2014/09,411,27,368,6,10,2023/05,565,24,532,6,3
2014/10,490,36,433,10,11,2023/06,507,21,471,4,11
2014/11,533,28,488,9,8,2023/07,517,23,483,6,5
2014/12,498,36,436,10,16,2023/08,483,21,450,2,10
Total 2014,"5,239",333,"4,710",80,116,2023/09,549,45,491,2,11
2015/01,484,44,427,8,5,2023/10,527,36,484,2,5
2015/02,510,54,436,13,7,2023/11,494,23,457,4,10
2015/03,506,47,440,12,7,2023/12,416,25,387,0,4
2015/04,507,53,433,7,14,Total 2023,"6,116",325,"5,665",32,94
2015/05,552,45,482,15,10,2024/01,493,28,455,1,9
2015/06,530,40,464,11,15,2024/02,455,23,419,3,10
2015/07,558,31,516,2,9,2024/03,514,18,488,2,6
2015/08,646,38,582,7,19,2024/04,545,26,501,3,15
2015/09,595,42,534,9,10,2024/05,600,22,569,4,5
2015/10,594,37,539,2,16,2024/06,525,15,495,5,10
2015/11,535,47,462,11,15,2024/07,539,17,514,3,5
2015/12,538,31,484,16,7,2024/08,606,31,553,7,15
Total 2015,"6,555",509,"5,799",113,134,2024/09,565,28,519,6,12
2016/01,527,49,458,9,11,2024/10,546,18,516,3,9
2016/02,461,34,410,7,10,2024/11,519,20,488,1,10
2016/03,451,45,394,0,12,2024/12,,,,,
2016/04,448,32,406,5,5,Acumulado 2024,"5,907",246,"5,517",38,106
2016/05,530,42,481,1,6,2025/01,461,12,441,0,8
2016/06,528,30,480,6,12,2025/02,507,25,473,2,7
2016/07,532,26,493,5,8,2025/03,568,18,530,3,17
2016/08,485,28,451,0,6,2025/04,510,11,482,7,10
2016/09,496,32,443,5,16,2025/05,515,12,491,3,9
,,,,,,Acumulado 2025,"2,561",78,"2,417",15,51
