Año/Mes,Robos,Lesiones,Homicidios,Delitos Patrimoniales,Priv. de la Libertad (Secuestro),Delitos Sexuales,Otros Delitos
2011/01,"1,930",84,172,253,3,15,414
2011/02,"1,657",87,159,198,9,13,451
2011/03,"1,813",119,134,290,7,31,565
2011/04,"1,445",118,152,256,6,30,622
2011/05,"1,512",125,127,319,4,21,614
2011/06,"1,317",164,117,306,4,22,814
2011/07,"1,288",170,155,317,4,23,752
2011/08,"1,176",146,100,297,,19,686
2011/09,"1,199",133,121,340,3,31,649
2011/10,"1,122",133,113,349,7,23,694
2011/11,"1,079",124,94,363,,21,556
2011/12,"1,201",93,108,368,1,25,496
Total 2011,"16,739","1,496","1,552","3,656",48,274,"7,313"
2012/01,"1,179",127,93,345,2,25,584
2012/02,"1,018",169,91,321,,29,475
2012/03,991,156,84,339,2,23,588
2012/04,831,118,97,390,1,25,685
2012/05,946,124,62,376,3,27,720
2012/06,817,140,56,410,2,41,875
2012/07,785,146,54,394,1,30,"1,142"
2012/08,746,129,50,395,1,30,"1,095"
2012/09,703,125,52,372,4,49,"1,006"
2012/10,697,128,45,357,1,42,"1,072"
2012/11,644,138,38,400,2,19,852
2012/12,543,111,43,321,1,19,788
Total 2012,"9,900","1,611",765,"4,420",20,359,"9,882"
2013/01,662,132,33,322,2,29,819
2013/02,627,99,32,313,2,28,917
2013/03,720,163,46,373,2,30,974
2013/04,585,159,49,493,4,35,"1,036"
2013/05,584,161,38,440,1,34,"1,065"
2013/06,603,223,54,419,1,44,"1,095"
2013/07,581,157,40,415,,20,"1,059"
2013/08,697,176,47,464,,31,"1,036"
2013/09,596,135,43,372,1,29,958
2013/10,581,144,39,406,,31,921
2013/11,512,135,44,286,,20,730
2013/12,545,136,59,386,,15,830
Total 2013,"7,293","1,820",524,"4,689",13,346,"11,440"
2014/01,471,131,32,373,,23,866
2014/02,579,153,43,341,,22,915
2014/03,575,194,43,430,,35,"1,140"
2014/04,534,173,38,340,1,23,"1,144"
2014/05,575,200,47,421,,27,"1,235"
2014/06,532,215,32,389,,22,"1,152"
2014/07,576,198,39,355,,31,"1,096"
2014/08,491,203,41,333,1,31,"1,056"
2014/09,513,192,31,326,,35,"1,017"
2014/10,441,243,40,354,,27,"1,043"
2014/11,396,163,31,365,,39,794
2014/12,447,153,32,386,,21,805
Total 2014,"6,130","2,218",449,"4,413",2,336,"12,263"
2015/01,398,144,29,370,0,27,867
2015/02,458,164,31,361,0,30,946
2015/03,457,203,24,388,0,49,"1,130"
2015/04,435,219,19,379,0,33,"1,070"
2015/05,444,242,24,339,0,52,"1,158"
2015/06,470,257,24,330,0,44,"1,182"
2015/07,475,194,39,390,0,34,"1,286"
2015/08,435,236,27,384,0,47,"1,327"
2015/09,486,237,19,341,0,39,"1,225"
2015/10,430,188,28,345,0,35,"1,229"
2015/11,416,153,17,310,0,45,979
2015/12,427,173,24,341,0,29,953
Total 2015,"5,331","2,410",305,"4,278",0,464,"13,352"
2016/01,461,141,33,341,0,23,"1,128"
2016/02,367,162,23,291,0,31,"1,155"
2016/03,393,179,30,312,1,38,1266
2016/04,351,157,27,296,0,49,"1,234"
2016/05,343,231,36,371,0,37,"1,406"
2016/06,426,202,33,342,0,36,"1,229"
2016/07,359,171,49,316,0,43,1212
2016/08,387,162,47,313,0,36,"1,055"
2016/09,414,151,54,338,0,32,930
2016/10,454,179,80,284,3,32,"1,156"
2016/11,382,149,39,318,0,29,"1,204"
2016/12,393,118,51,344,1,31,"1,107"
Total 2016,"4,730","2,002",502,"3,866",5,417,"14,082"
2017/01,403,139,49,346,0,21,"1,492"
2017/02,431,148,71,343,0,31,"1,522"
2017/03,563,179,58,352,0,44,"1,630"
2017/04,482,217,28,387,0,44,"1,704"
2017/05,535,198,46,443,0,40,"1,584"
2017/06,516,237,70,419,1,40,"1,821"
2017/07,583,197,47,375,0,45,"1,940"
2017/08,629,222,43,353,0,57,"1,856"
2017/09,587,181,63,379,3,42,"1,436"
2017/10,645,212,63,381,1,41,"1,598"
2017/11,614,183,69,343,0,39,"1,406"
2017/12,640,169,75,374,0,27,"1,491"
Total 2017,"6,628","2,282",682,"4,495",5,471,"19,480"
