Año/Mes,Robo,Narcomenudeo,Violencia familiar,Daño a la propiedad,Lesiones,Amenazas,Fraude,Homicidio,Abuso sexual,Allanamiento de morada,Otros delitos,Total mes
2015/01,401,82,357,212,144,86,110,29,36,8,370,"1,835"
2015/02,464,128,382,223,163,113,88,31,37,16,345,"1,990"
2015/03,461,144,435,243,203,154,96,24,44,15,432,"2,251"
2015/04,438,145,468,230,219,138,93,19,40,21,344,"2,155"
2015/05,448,154,518,227,242,142,77,24,66,27,334,"2,259"
2015/06,473,108,583,207,256,172,73,24,50,24,336,"2,306"
2015/07,479,148,622,234,194,167,96,39,41,25,373,"2,418"
2015/08,439,146,684,278,236,156,71,27,40,21,358,"2,456"
2015/09,489,127,590,206,237,162,88,19,38,28,363,"2,347"
2015/10,431,222,551,221,188,114,68,28,29,30,373,"2,255"
2015/11,416,112,473,194,153,105,84,17,34,15,317,"1,920"
2015/12,429,131,434,224,173,73,78,24,38,26,317,"1,947"
Total 2015,"5,368","1,647","6,097","2,699","2,408","1,582","1,022",305,493,256,"4,262","26,139"
2016/01,463,214,528,247,141,103,71,33,36,22,269,"2,127"
2016/02,368,223,517,205,162,122,59,23,38,14,298,"2,029"
2016/03,395,267,569,224,179,145,59,30,25,14,312,"2,219"
2016/04,353,189,579,211,157,136,57,27,43,20,342,"2,114"
2016/05,344,221,679,252,231,161,72,36,50,24,354,"2,424"
2016/06,427,145,641,225,202,160,80,33,42,20,293,"2,268"
2016/07,360,154,686,209,171,109,78,49,56,10,268,"2,150"
2016/08,388,139,557,196,162,121,84,47,30,20,256,"2,000"
2016/09,416,112,472,225,151,118,77,54,32,10,252,"1,919"
2016/10,455,291,494,190,179,118,58,80,37,14,272,"2,188"
2016/11,387,428,402,202,149,117,88,39,33,14,262,"2,121"
2016/12,395,396,389,239,118,93,75,51,38,14,237,"2,045"
Total 2016,"4,751","2,779","6,513","2,625","2,002","1,503",858,502,460,196,"3,415","25,604"
2017/01,404,720,398,221,139,116,90,49,26,31,256,"2,450"
2017/02,433,641,424,224,148,107,67,71,36,29,366,"2,546"
2017/03,566,599,536,216,179,136,86,58,38,27,385,"2,826"
2017/04,482,622,503,256,217,154,89,28,42,38,431,"2,862"
2017/05,535,482,578,278,198,149,117,46,56,23,384,"2,846"
2017/06,516,573,650,265,237,158,107,70,41,33,454,"3,104"
2017/07,583,619,645,251,197,163,86,47,66,38,492,"3,187"
2017/08,629,620,590,233,222,173,85,43,51,42,472,"3,160"
2017/09,587,381,515,233,181,139,94,63,51,47,400,"2,691"
2017/10,645,434,573,253,212,155,86,63,48,43,429,"2,941"
2017/11,614,393,507,228,183,145,83,64,44,53,340,"2,654"
2017/12,640,492,529,251,169,114,93,74,39,60,315,"2,776"
