MES,HOMICIDIO,SUICIDIO,ATROPELLO,CHOQUE,VOLCADURA,ACCIDENTES POR FUEGO,ENVENENAMIENTO ACCIDENTAL POR OTRAS SUSTANCIAS,ENVENENAMIENTO ACCIDENTAL POR SOBREDOSIS,ENVENENAMIENTO ACCIDENTAL POR MONÓXIDO Y OTROS GASES,AHOGAMIENTO Y SUMERSIÓN ACCIDENTAL,CAÍDAS ACCIDENTALES,OTRAS CAUSAS,TOTAL
2019/01,104,0,10,3,0,6,2,0,0,0,0,1,126
2019/02,92,1,3,2,1,1,2,0,0,0,0,0,102
2019/03,109,3,1,1,4,0,1,0,0,0,0,2,121
2019/04,144,0,2,1,0,0,0,0,0,0,0,4,151
2019/05,147,1,2,0,0,0,0,0,0,0,0,0,150
2019/06,123,1,1,3,0,1,0,0,0,6,0,0,135
2019/07,136,1,2,4,4,2,0,0,0,0,2,4,155
2019/08,125,0,1,4,0,2,0,0,0,0,0,0,132
2019/09,114,1,4,4,0,0,2,1,0,0,0,0,126
2019/10,110,0,7,3,3,0,1,0,0,0,0,0,124
2019/11,125,1,5,1,2,2,1,0,3,0,1,1,142
2019/12,93,0,5,2,0,2,0,0,2,0,0,5,109
Total 2019,"1,422",9,43,28,14,16,9,1,5,6,3,17,"1,573"
2020/01,105,0,3,8,0,1,0,0,3,0,0,0,120
2020/02,97,0,3,2,3,0,0,0,2,0,0,0,107
2020/03,143,0,4,4,0,1,0,0,0,0,0,0,152
2020/04,160,0,1,2,0,0,0,0,0,0,0,0,163
2020/05,141,0,4,3,0,3,0,0,0,0,0,1,152
2020/06,165,1,0,3,3,0,0,0,0,0,0,0,172
2020/07,140,0,6,3,0,1,0,2,5,1,0,2,160
2020/08,152,0,2,1,1,0,0,0,2,0,1,2,161
2020/09,111,0,0,5,1,0,0,0,3,0,0,1,121
2020/10,116,1,8,2,2,1,0,0,0,0,0,4,134
2020/11,95,0,4,5,0,1,0,0,0,0,1,3,109
2020/12,98,4,2,1,,3,0,0,2,0,0,4,115
Total 2020,"1,523",6,37,39,10,11,0,2,17,1,2,17,"1,666"
2021/01,98,1,1,4,1,0,0,0,1,0,0,3,109
2021/02,108,0,2,2,1,0,1,0,2,0,1,3,120
2021/03,112,0,1,4,4,0,0,1,0,0,1,4,127
2021/04,121,0,3,8,1,2,1,0,0,1,0,2,139
2021/05,128,1,3,5,0,0,0,0,0,0,1,0,138
2021/06,118,0,2,3,0,0,0,0,0,1,0,0,124
2021/07,111,0,4,3,0,1,0,0,0,2,2,1,124
2021/08,94,1,2,7,0,0,0,0,0,0,1,1,106
2021/09,100,1,5,9,0,0,0,0,0,0,0,3,118
2021/10,107,0,3,3,0,0,0,0,0,1,0,1,115
2021/11,102,0,3,2,1,0,0,0,4,0,1,0,113
2021/12,126,2,3,3,0,2,0,0,1,0,0,1,138
Total 2021,"1,325",6,32,53,8,5,2,1,8,5,7,19,"1,471"
2022/01,82,5,1,2,0,3,0,1,5,0,0,0,99
2022/02,66,2,7,3,1,3,0,0,1,1,0,0,84
2022/03,71,1,2,3,0,10,0,0,0,0,1,2,90
2022/04,60,0,4,4,3,1,0,0,0,0,0,1,73
2022/05,103,0,3,1,3,1,0,0,0,0,0,2,113
2022/06,78,3,4,3,2,0,1,0,0,4,0,2,97
2022/07,94,3,2,0,1,0,1,0,0,0,1,1,103
2022/08,119,0,5,4,0,3,1,0,0,0,0,1,133
2022/09,102,1,2,3,1,0,0,0,0,1,1,0,111
2022/10,97,0,3,3,0,1,0,2,0,0,0,1,107
2022/11,68,1,3,6,1,0,2,0,3,0,0,0,84
2022/12,66,0,4,4,0,2,0,1,5,0,1,2,85
Total 2022,"1,006",16,40,36,12,24,5,4,14,6,4,12,"1,179"
2023/01,100,0,3,2,2,4,0,0,2,0,0,0,113
2023/02,80,1,3,3,0,3,0,0,0,0,0,0,90
2023/03,99,0,5,2,2,38,0,1,1,0,0,0,148
2023/04,70,0,5,2,2,0,0,0,0,0,4,1,84
2023/05,100,0,5,5,0,1,0,2,0,0,0,0,113
2023/06,85,1,0,3,0,1,0,1,4,1,0,1,97
2023/07,100,0,4,2,0,1,0,0,3,0,4,0,114
2023/08,112,3,0,3,1,0,0,1,0,0,1,0,121
2023/09,95,0,7,1,2,0,0,1,4,0,1,0,111
2023/10,89,2,7,2,0,0,0,0,1,0,0,1,102
2023/11,93,0,7,1,1,0,1,0,1,0,0,0,104
2023/12,93,0,1,1,1,0,0,1,3,0,0,1,101
Total 2023,"1,116",7,47,27,11,48,1,7,19,1,10,4,"1,298"
2024/01,124,1,2,4,0,1,0,0,0,0,2,1,135
2024/02,84,1,5,3,0,2,1,0,1,0,1,0,98
2024/03,91,3,4,2,2,0,0,0,2,0,1,1,106
2024/04,88,2,2,5,0,1,0,0,1,0,0,1,100
2024/05,97,0,1,1,0,0,0,0,1,0,1,0,101
2024/06,100,0,2,10,2,0,0,0,0,0,0,0,114
2024/07,74,0,0,1,1,0,2,0,2,0,2,0,82
Acumulado 2024,658,7,16,26,5,4,3,0,7,0,7,3,736
