MES,HOMBRES,MUJERES,NO DETERMINADO,TOTAL
2019/01,94,10,0,104
2019/02,84,7,1,92
2019/03,93,8,8,109
2019/04,123,15,6,144
2019/05,131,15,1,147
2019/06,102,16,5,123
2019/07,107,20,9,136
2019/08,108,13,4,125
2019/09,105,5,4,114
2019/10,91,15,4,110
2019/11,105,18,2,125
2019/12,70,18,5,93
Total 2019,"1,213",160,49,"1,422"
2020/01,90,13,2,105
2020/02,87,8,2,97
2020/03,122,14,7,143
2020/04,126,26,8,160
2020/05,105,25,11,141
2020/06,140,15,10,165
2020/07,115,12,13,140
2020/08,128,17,7,152
2020/09,94,16,1,111
2020/10,97,10,9,116
2020/11,80,10,5,95
2020/12,89,9,0,98
Total 2020,"1,273",175,75,"1,523"
2021/01,76,18,4,98
2021/02,81,11,16,108
2021/03,92,16,4,112
2021/04,111,8,2,121
2021/05,101,18,9,128
2021/06,96,13,9,118
2021/07,86,18,7,111
2021/08,74,16,4,94
2021/09,86,9,5,100
2021/10,83,21,3,107
2021/11,89,7,6,102
2021/12,107,14,5,126
Total 2021,"1,082",169,74,"1,325"
2022/01,66,11,5,82
2022/02,55,8,3,66
2022/03,58,9,4,71
2022/04,48,7,5,60
2022/05,86,13,4,103
2022/06,64,8,6,78
2022/07,74,15,5,94
2022/08,102,11,6,119
2022/09,79,12,11,102
2022/10,84,11,2,97
2022/11,60,6,2,68
2022/12,58,5,3,66
Total 2022,834,116,56,"1,006"
2023/01,82,12,6,100
2023/02,75,5,0,80
2023/03,74,16,9,99
2023/04,56,9,5,70
2023/05,80,9,11,100
2023/06,61,18,6,85
2023/07,80,10,10,100
2023/08,89,14,9,112
2023/09,70,14,11,95
2023/10,71,13,5,89
2023/11,70,15,8,93
2023/12,72,11,10,93
Total 2023,880,146,90,"1,116"
2024/01,104,12,8,124
2024/02,71,9,4,84
2024/03,64,11,16,91
2024/04,59,7,22,88
2024/05,79,7,11,97
2024/06,73,13,14,100
2024/07,55,13,6,74
Acumulado 2024,505,72,81,658
