"Año, Mes",Personas lesionadas,Personas muertas
2008/01,272,7
2008/02,278,8
2008/03,299,8
2008/04,367,9
2008/05,295,7
2008/06,336,7
2008/07,266,9
2008/08,276,8
2008/09,292,6
2008/10,299,10
2008/11,259,17
2008/12,275,4
Total 2008,"3,514",100
2009/01,244,5
2009/02,249,11
2009/03,286,6
2009/04,304,4
2009/05,266,5
2009/06,309,10
2009/07,248,4
2009/08,285,5
2009/09,204,4
2009/10,223,3
2009/11,265,9
2009/12,220,7
Total 2009,"3,103",73
2010/01,160,14
2010/02,181,8
2010/03,250,2
2010/04,216,2
2010/05,264,8
2010/06,220,8
2010/07,197,7
2010/08,189,7
2010/09,135,4
2010/10,211,8
2010/11,237,7
2010/12,161,9
Total 2010,"2,421",84
2011/01,185,2
2011/02,137,4
2011/03,201,6
2011/04,204,8
2011/05,239,10
2011/06,199,6
2011/07,166,2
2011/08,148,6
2011/09,192,10
2011/10,205,6
2011/11,169,10
2011/12,124,9
Total 2011,"5,183",156
2012/01,159,9
2012/02,144,9
2012/03,233,8
2012/04,171,7
2012/05,193,2
2012/06,179,9
2012/07,182,5
2012/08,152,4
2012/09,253,10
2012/10,248,11
2012/11,292,9
2012/12,279,6
Total 2012,"2,485",89
2013/01,206,4
2013/02,264,9
2013/03,217,10
2013/04,245,4
2013/05,185,3
2013/06,210,6
2013/07,176,6
2013/08,235,6
2013/09,222,5
2013/10,232,5
2013/11,249,8
2013/12,218,3
Total 2013,"2,659",69
2014/01,228,3
2014/02,191,12
2014/03,230,5
2014/04,185,7
2014/05,202,6
2014/06,208,6
2014/07,217,0
2014/08,222,13
2014/09,200,6
2014/10,299,8
2014/11,236,1
2014/12,228,4
Total 2014,"2,646",71
2015/01,262,2
2015/02,287,6
2015/03,221,6
2015/04,303,3
2015/05,303,11
2015/06,253,8
2015/07,259,1
2015/08,276,6
2015/09,284,10
2015/10,314,6
2015/11,288,8
2015/12,252,4
Total 2015,"3,302",71
2016/01,267,5
2016/02,205,6
2016/03,205,7
2016/04,229,5
2016/05,301,4
2016/06,289,4
2016/07,245,8
2016/08,208,4
2016/09,204,11
2016/10,311,6
2016/11,265,7
2016/12,220,5
Total 2016,"2,949",72
2017/01,241,2
2017/02,213,4
2017/03,209,2
2017/04,246,6
2017/05,270,10
2017/06,193,5
2017/07,180,4
2017/08,237,8
2017/09,218,3
2017/10,194,9
2017/11,282,8
2017/12,184,11
Total 2017,"2,667",72
2018/01,162,9
2018/02,204,2
2018/03,186,9
2018/04,197,7
2018/05,247,4
2018/06,297,10
2018/07,220,8
2018/08,225,6
2018/09,227,11
2018/10,291,5
2018/11,296,9
2018/12,245,7
Total 2018,"2,797",87
2019/01,170,15
2019/02,215,4
2019/03,276,3
2019/04,252,7
2019/05,242,1
2019/06,264,5
2019/07,263,7
2019/08,362,5
2019/09,345,5
2019/10,285,12
2019/11,188,7
2019/12,315,8
Total 2019,"3,177",79
2020/01,209,10
2020/02,218,9
2020/03,199,7
2020/04,129,6
2020/05,125,6
2020/06,168,7
2020/07,233,7
2020/08,236,2
2020/09,238,5
2020/10,185,13
2020/11,165,11
2020/12,160,5
Total 2020,"2,265",88
2021/01,192,7
2021/02,177,7
2021/03,186,8
2021/04,166,12
2021/05,200,9
2021/06,177,8
2021/07,177,10
2021/08,223,9
2021/09,186,10
2021/10,182,4
2021/11,165,7
2021/12,142,8
Total 2021,"2,173",99
2022/01,127,4
2022/02,120,11
2022/03,161,7
2022/04,147,10
2022/05,155,6
2022/06,114,7
2022/07,119,6
2022/08,143,10
2022/09,183,8
2022/10,145,7
2022/11,176,11
2022/12,135,7
Total 2022,"1,725",94
2023/01,163,9
2023/02,159,9
2023/03,209,8
2023/04,237,12
2023/05,253,8
2023/06,198,3
2023/07,162,7
2023/08,173,5
2023/09,211,13
2023/10,181,6
2023/11,180,9
2023/12,152,4
Total 2023,"2,278",93
2024/01,171,6
2024/02,201,7
2024/03,160,9
2024/04,181,6
2024/05,205,2
2024/06,149,11
2024/07,213,3
2024/08,228,11
2024/09,231,2
2024/10,221,8
2024/11,184,4
2024/12,,
Acumulado 2024,"2,144",69
2025/01,143,2
2025/02,229,6
2025/03,233,8
2025/04,165,5
2025/05,218,4
Acumulado 2025,988,25
