"Año, Mes",Total,Ambulancia,De carga ,Particular ,Patrulla,Transporte  Público (Ruteras y personal),Motocicleta ,Otros
2010/01,370,1,1,334,9,17,0,8
2010/02,402,0,5,357,8,20,0,12
2010/03,447,0,4,395,14,24,2,8
2010/04,407,0,2,346,20,36,0,3
2010/05,444,0,4,368,26,31,0,15
2010/06,456,1,0,405,12,20,1,17
2010/07,392,1,3,334,13,26,0,15
2010/08,399,1,3,342,17,27,0,9
2010/09,319,2,2,279,4,19,0,13
2010/10,427,1,1,371,18,24,0,12
2010/11,483,1,5,422,13,26,0,16
2010/12,486,0,3,421,15,29,0,18
Total 2010,"5,032",8,33,"4,374",169,299,,146
2011/01,395,1,1,361,5,22,0,5
2011/02,373,0,2,325,13,21,1,11
2011/03,413,0,6,359,8,25,0,15
2011/04,245,0,3,197,11,18,0,16
2011/05,363,0,2,318,14,13,0,16
2011/06,381,0,1,324,17,29,0,10
2011/07,338,0,2,302,13,13,0,8
2011/08,277,0,3,234,11,19,0,10
2011/09,368,1,5,309,19,22,0,12
2011/10,412,0,1,335,34,21,0,21
2011/11,340,0,4,285,16,21,0,14
2011/12,277,1,0,239,14,14,0,9
Total 2011,"4,182",3,30,"3,588",175,238,1,147
2012/01,341,0,1,291,19,17,0,13
2012/02,332,0,3,268,16,30,0,15
2012/03,397,0,4,335,17,20,0,21
2012/04,361,0,6,304,11,26,1,13
2012/05,372,0,4,326,5,22,0,15
2012/06,387,0,4,311,12,20,0,40
2012/07,354,1,1,278,8,24,0,42
2012/08,369,0,2,300,9,19,0,39
2012/09,543,0,5,408,24,33,0,73
2012/10,590,0,3,484,20,37,0,46
2012/11,646,1,3,548,18,32,0,44
2012/12,594,0,1,482,26,43,0,42
Total 2012,"5,286",2,37,"4,335",185,323,1,403
2013/01,363,0,1,301,11,15,0,35
2013/02,528,0,1,421,15,35,0,56
2013/03,557,0,2,425,15,31,0,84
2013/04,589,0,7,452,20,26,0,84
2013/05,491,0,2,399,19,14,0,57
2013/06,503,0,1,408,16,30,0,48
2013/07,254,0,1,200,11,13,0,29
2013/08,474,0,4,386,12,24,0,48
2013/09,376,0,2,281,12,29,0,52
2013/10,400,0,4,316,14,19,0,47
2013/11,405,0,3,349,25,17,0,11
2013/12,452,0,3,395,17,23,0,14
Total 2013,"5,392",0,31,"4,333",187,276,0,565
2014/01,378,0,9,327,18,13,0,11
2014/02,350,0,7,305,12,18,,8
2014/03,454,1,8,387,13,29,0,16
2014/04,408,1,9,341,16,27,0,14
2014/05,439,0,15,375,13,26,1,9
2014/06,419,2,14,365,14,18,0,6
2014/07,418,1,6,365,16,18,1,11
2014/08,460,0,9,401,15,25,0,10
2014/09,408,1,6,338,14,39,0,10
2014/10,489,0,18,391,24,39,0,17
2014/11,531,0,11,460,12,34,0,14
2014/12,499,0,6,428,19,27,2,17
Total 2014,"5,253",6,118,"4,483",186,313,4,143
2015/01,486,0,5,416,15,34,0,16
2015/02,510,0,15,429,13,34,2,17
2015/03,507,0,13,429,14,25,16,10
2015/05,553,0,6,482,14,35,1,15
2015/06,527,1,12,453,11,39,1,10
2015/07,557,0,18,490,12,29,0,8
2015/08,642,0,20,544,15,42,4,17
2015/09,589,0,15,502,11,44,1,16
2015/10,584,0,14,498,8,40,0,24
2015/11,530,2,12,433,17,38,2,26
2015/12,536,3,8,459,13,25,7,21
Total 2015,"6,527",6,151,"5,560",157,430,36,187
2016/01,529,1,17,423,18,39,12,19
2016/02,462,0,26,361,18,24,17,16
2016/03,345,0,9,291,11,17,9,8
2016/04,461,0,23,375,5,25,16,17
2016/05,439,0,9,377,6,23,10,14
2016/06,529,0,29,393,12,49,22,24
2016/07,530,0,14,442,12,34,10,18
2016/08,486,1,10,403,16,35,7,14
2016/09,496,0,19,399,11,43,9,15
2016/10,506,0,14,413,18,37,11,13
2016/11,494,1,17,400,10,42,5,19
2016/12,480,0,17,400,16,22,8,17
Total 2016,"5,757",3,204,"4,677",153,390,136,194
2017/01,446,1,18,346,19,30,12,20
2017/02,442,0,22,334,21,30,8,27
2017/03,425,1,7,349,11,29,8,20
2017/04,446,1,11,373,12,27,11,11
2017/05,515,0,7,418,9,20,16,45
