Crucero vial,Total de incidentes,Atropello,Choque,Volcadura,Otros
Independencia - Don Manuel Talamás Camandari,51,1,49,0,1
Tecnológico - Vicente Guerrero,40,0,39,0,1
Tecnológico - Teófilo Borunda,39,0,38,0,1
Independencia - Juárez a Porvenir,39,0,35,,4
Ejército Nacional - Paseo de la Victoria,38,0,38,0,0
Paseo de la Victoria - Teófilo Borunda,38,1,36,0,1
Zaragoza - De las Torres,38,0,38,0,0
Francisco Villarreal Torres - Manuel Gómez Morín,35,0,34,1,0
Francisco Villarreal Torres - Teófilo Borunda,33,0,30,1,2
De las Torres - Don Manuel Talamás Camandari,32,0,31,0,1
Juan Pablo II - Rafael Pérez Serna,27,0,26,0,1
Manuel Gómez Morín - Ejército Nacional,27,0,25,0,2
Internacional - Río Candelaria,27,1,24,1,1
Zaragoza - Tecnológico,27,2,24,0,1
Don Manuel Talamás Camandari - Miguel de la Madrid,27,1,25,0,1
Ramón Rayón - De las Torres,26,2,22,0,2
Independencia - Santiago Troncoso,26,1,25,0,0
Panamericana - Don Manuel Talamás Camandari,26,0,25,1,0
Paseo Triunfo de la República - Adolfo López Mateos,25,0,25,0,0
Tecnológico - Pedro Rosales de León,25,2,23,0,0
Zaragoza - Independencia,25,2,22,0,1
