Concepto,Estado (Viviendas particulares habitadas),Municipio (Viviendas particulares habitadas),Estado (Ocupantes de viviendas particulares),Municipio (Ocupantes de viviendas particulares)
Refrigerador,"1,081,646","436,106","3,513,201","1,471,150"
Lavadora,"984,232","395,092","3,248,924","1,359,606"
Horno de microondas,"822,240","329,747","2,665,104","1,110,059"
Automóvil o camioneta,"783,621","300,680","2,630,186","1,049,574"
Motocicleta o motoneta,"77,198","19,509","267,206","64,968"
Bicicleta que se utilice como medio de transporte,"125,791","42,892","441,076","151,159"
Algún aparato o dispositivo para oír radio,"795,328","321,203","2,592,216","1,084,974"
Televisor,"1,068,519","433,849","3,484,547","1,465,131"
"Computadora, laptop o tablet","488,724","203,599","1,674,197","716,443"
Línea telefónica fija,"460,540","210,548","1,538,750","739,872"
Teléfono celular,"1,051,045","422,130","3,459,319","1,433,616"
Internet,"650,546","286,079","2,228,555","1,016,211"
Servicio de televisión de paga (Cable o satelital),"481,871","144,147","1,631,495","513,790"
"Servicio de películas, música o videos de paga por Internet","282,049","121,797","960,773","428,182"
Consola de videojuegos,"179,964","78,625","673,409","299,575"
