Concepto,Viviendas habitadas - Estado,Viviendas habitadas - Municipio,Ocupantes - Estado,Ocupantes - Municipio
Casa independiente,"892,936","334,427","3,236,338","1,236,892"
Departamento en edificio,"4,952","3,143","15,454","9,930"
Vivienda en vecindad,"5,593","3,108","16,893","9,068"
Vivienda en cuarto de azotea,161,72,575,270
Local no construido para habitación,148,55,511,153
Vivienda móvil,179,37,514,110
Refugio,122,22,492,58
No especificado,"40,288","23,698","123,601","72,090"
Vivienda colectiva,302,77,"11,806","3,460"
Total,"944,681","364,639","3,406,184","1,332,031"
