Concepto,Viviendas particulares habitadas - Estado,Viviendas particulares habitadas - Municipio,Ocupantes - Estado,Ocupantes - Municipio
Casa única en el terreno,"1,037,781","402,639","3,403,469","1,366,545"
Casa que comparte terreno con otra (s),"88,654","35,308","266,011","107,245"
Casa dúplex,"6,480","3,728","19,267","11,338"
Departamento en edificio,"6,016","4,263","15,584","11,131"
Vivienda en vecindad o cuartería,"4,243","2,268","11,123","5,692"
Vivienda en cuarto de azotea de un edificio,17,4,56,9
Local no construido para habitación,843,240,2291,652
Vivienda móvil,139,16,380,26
Refugio,228,29,748,58
No especificado,"1,994",957,"6,102","3,018"
Total,"1,146,395","449,452","3,725,031","1,505,714"
